Epoch 0 | Last Batch 1251 | M_Optimizer LR => 0.00003130 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 13.59 sec
Epoch 1 | Last Batch 1251 | M_Optimizer LR => 0.00006260 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 11.79 sec
Epoch 2 | Last Batch 1251 | M_Optimizer LR => 0.00009390 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 14.82 sec
Epoch 3 | Last Batch 1251 | M_Optimizer LR => 0.00008937 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 15.20 sec
Epoch 4 | Last Batch 1251 | M_Optimizer LR => 0.00007994 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 13.15 sec
Epoch 5 | Last Batch 1251 | M_Optimizer LR => 0.00007297 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 11.46 sec
Epoch 6 | Last Batch 1251 | M_Optimizer LR => 0.00006756 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 10.89 sec
Epoch 7 | Last Batch 1251 | M_Optimizer LR => 0.00006320 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 11.83 sec
Epoch 8 | Last Batch 1251 | M_Optimizer LR => 0.00005958 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 11.93 sec
Epoch 9 | Last Batch 1251 | M_Optimizer LR => 0.00005652 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 13.16 sec
Epoch 10 | Last Batch 1251 | M_Optimizer LR => 0.00005389 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 12.55 sec
Epoch 11 | Last Batch 1251 | M_Optimizer LR => 0.00005160 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 10.57 sec
Epoch 12 | Last Batch 1251 | M_Optimizer LR => 0.00004957 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 12.88 sec
Epoch 13 | Last Batch 1251 | M_Optimizer LR => 0.00004777 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 11.79 sec
Epoch 14 | Last Batch 1251 | M_Optimizer LR => 0.00004615 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 12.67 sec
Epoch 15 | Last Batch 1251 | M_Optimizer LR => 0.00004469 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 11.59 sec
Epoch 16 | Last Batch 1251 | M_Optimizer LR => 0.00004335 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 9.44 sec
Epoch 17 | Last Batch 1251 | M_Optimizer LR => 0.00004213 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 12.01 sec
Epoch 18 | Last Batch 1251 | M_Optimizer LR => 0.00004101 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 11.68 sec
Epoch 19 | Last Batch 1251 | M_Optimizer LR => 0.00003997 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 12.25 sec
Epoch 20 | Last Batch 1251 | M_Optimizer LR => 0.00003900 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 12.13 sec
Epoch 21 | Last Batch 1251 | M_Optimizer LR => 0.00003811 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 9.73 sec
Epoch 22 | Last Batch 1251 | M_Optimizer LR => 0.00003727 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 13.30 sec
Epoch 23 | Last Batch 1251 | M_Optimizer LR => 0.00003649 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 11.62 sec
Epoch 24 | Last Batch 1251 | M_Optimizer LR => 0.00003575 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 11.87 sec
Epoch 25 | Last Batch 1251 | M_Optimizer LR => 0.00003505 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 11.89 sec
Epoch 26 | Last Batch 1251 | M_Optimizer LR => 0.00003440 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 9.56 sec
Epoch 27 | Last Batch 1251 | M_Optimizer LR => 0.00003378 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 11.70 sec
Epoch 28 | Last Batch 1251 | M_Optimizer LR => 0.00003319 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 10.99 sec
Epoch 29 | Last Batch 1251 | M_Optimizer LR => 0.00003263 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 11.17 sec
Epoch 30 | Last Batch 1251 | M_Optimizer LR => 0.00003210 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 11.49 sec
Epoch 31 | Last Batch 1251 | M_Optimizer LR => 0.00003160 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 9.85 sec
Epoch 32 | Last Batch 1251 | M_Optimizer LR => 0.00003112 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 13.51 sec
Epoch 33 | Last Batch 1251 | M_Optimizer LR => 0.00003065 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 10.42 sec
Epoch 34 | Last Batch 1251 | M_Optimizer LR => 0.00003021 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 13.04 sec
Epoch 35 | Last Batch 1251 | M_Optimizer LR => 0.00002979 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 12.00 sec
