[Epoch 0 | Batch 0 | Global Step 0] Main LR: 0.00000003 | WD: 0.00010000
[Epoch 0 | Batch 1 | Global Step 1] Main LR: 0.00000003 | WD: 0.00010000
[Epoch 0 | Batch 2 | Global Step 2] Main LR: 0.00000005 | WD: 0.00010000
[Epoch 0 | Batch 5 | Global Step 5] Main LR: 0.00000013 | WD: 0.00010000
[Epoch 0 | Batch 10 | Global Step 10] Main LR: 0.00000025 | WD: 0.00010000
[Epoch 0 | Batch 50 | Global Step 50] Main LR: 0.00000125 | WD: 0.00010000
[Epoch 0 | Batch 70 | Global Step 70] Main LR: 0.00000175 | WD: 0.00010000
[Epoch 0 | Batch 100 | Global Step 100] Main LR: 0.00000250 | WD: 0.00010000
[Epoch 0 | Batch 200 | Global Step 200] Main LR: 0.00000500 | WD: 0.00010000
[Epoch 0 | Batch 500 | Global Step 500] Main LR: 0.00001250 | WD: 0.00010000
[Epoch 0 | Batch 1000 | Global Step 1000] Main LR: 0.00002500 | WD: 0.00010000
[Epoch 0 | Batch 1256 | Global Step 1256] Main LR: 0.00003140 | WD: 0.00010000
[Epoch 1 | Batch 0 | Global Step 1257] Main LR: 0.00003142 | WD: 0.00010000
[Epoch 1 | Batch 1 | Global Step 1258] Main LR: 0.00003145 | WD: 0.00010000
[Epoch 1 | Batch 2 | Global Step 1259] Main LR: 0.00003147 | WD: 0.00010000
[Epoch 1 | Batch 5 | Global Step 1262] Main LR: 0.00003155 | WD: 0.00010000
[Epoch 1 | Batch 10 | Global Step 1267] Main LR: 0.00003167 | WD: 0.00010000
[Epoch 1 | Batch 50 | Global Step 1307] Main LR: 0.00003268 | WD: 0.00010000
[Epoch 1 | Batch 70 | Global Step 1327] Main LR: 0.00003318 | WD: 0.00010000
[Epoch 1 | Batch 100 | Global Step 1357] Main LR: 0.00003392 | WD: 0.00010000
[Epoch 1 | Batch 200 | Global Step 1457] Main LR: 0.00003643 | WD: 0.00010000
[Epoch 1 | Batch 500 | Global Step 1757] Main LR: 0.00004392 | WD: 0.00010000
[Epoch 1 | Batch 1000 | Global Step 2257] Main LR: 0.00005643 | WD: 0.00010000
[Epoch 1 | Batch 1256 | Global Step 2513] Main LR: 0.00006282 | WD: 0.00010000
[Epoch 3 | Batch 0 | Global Step 3771] Main LR: 0.00009428 | WD: 0.00010000
[Epoch 3 | Batch 1 | Global Step 3772] Main LR: 0.00009430 | WD: 0.00010000
[Epoch 3 | Batch 2 | Global Step 3773] Main LR: 0.00009433 | WD: 0.00010000
[Epoch 3 | Batch 5 | Global Step 3776] Main LR: 0.00009440 | WD: 0.00010000
[Epoch 3 | Batch 10 | Global Step 3781] Main LR: 0.00009453 | WD: 0.00010000
[Epoch 3 | Batch 50 | Global Step 3821] Main LR: 0.00009553 | WD: 0.00010000
[Epoch 3 | Batch 70 | Global Step 3841] Main LR: 0.00009603 | WD: 0.00010000
[Epoch 3 | Batch 100 | Global Step 3871] Main LR: 0.00009678 | WD: 0.00010000
[Epoch 3 | Batch 200 | Global Step 3971] Main LR: 0.00009928 | WD: 0.00010000
[Epoch 3 | Batch 500 | Global Step 4271] Main LR: 0.00009678 | WD: 0.00010000
[Epoch 3 | Batch 1000 | Global Step 4771] Main LR: 0.00009156 | WD: 0.00010000
[Epoch 3 | Batch 1256 | Global Step 5027] Main LR: 0.00008920 | WD: 0.00010000
[Epoch 5 | Batch 0 | Global Step 6285] Main LR: 0.00007978 | WD: 0.00010000
[Epoch 5 | Batch 1 | Global Step 6286] Main LR: 0.00007977 | WD: 0.00010000
[Epoch 5 | Batch 2 | Global Step 6287] Main LR: 0.00007976 | WD: 0.00010000
[Epoch 5 | Batch 5 | Global Step 6290] Main LR: 0.00007975 | WD: 0.00010000
[Epoch 5 | Batch 10 | Global Step 6295] Main LR: 0.00007971 | WD: 0.00010000
[Epoch 5 | Batch 50 | Global Step 6335] Main LR: 0.00007946 | WD: 0.00010000
[Epoch 5 | Batch 70 | Global Step 6355] Main LR: 0.00007934 | WD: 0.00010000
[Epoch 5 | Batch 100 | Global Step 6385] Main LR: 0.00007915 | WD: 0.00010000
[Epoch 5 | Batch 200 | Global Step 6485] Main LR: 0.00007854 | WD: 0.00010000
[Epoch 5 | Batch 500 | Global Step 6785] Main LR: 0.00007678 | WD: 0.00010000
[Epoch 5 | Batch 1000 | Global Step 7285] Main LR: 0.00007410 | WD: 0.00010000
[Epoch 5 | Batch 1256 | Global Step 7541] Main LR: 0.00007283 | WD: 0.00010000
[Epoch 10 | Batch 0 | Global Step 12570] Main LR: 0.00005641 | WD: 0.00010000
[Epoch 10 | Batch 1 | Global Step 12571] Main LR: 0.00005641 | WD: 0.00010000
[Epoch 10 | Batch 2 | Global Step 12572] Main LR: 0.00005641 | WD: 0.00010000
[Epoch 10 | Batch 5 | Global Step 12575] Main LR: 0.00005640 | WD: 0.00010000
[Epoch 10 | Batch 10 | Global Step 12580] Main LR: 0.00005639 | WD: 0.00010000
[Epoch 10 | Batch 50 | Global Step 12620] Main LR: 0.00005630 | WD: 0.00010000
[Epoch 10 | Batch 70 | Global Step 12640] Main LR: 0.00005625 | WD: 0.00010000
[Epoch 10 | Batch 100 | Global Step 12670] Main LR: 0.00005619 | WD: 0.00010000
[Epoch 10 | Batch 200 | Global Step 12770] Main LR: 0.00005597 | WD: 0.00010000
[Epoch 10 | Batch 500 | Global Step 13070] Main LR: 0.00005532 | WD: 0.00010000
[Epoch 10 | Batch 1000 | Global Step 13570] Main LR: 0.00005429 | WD: 0.00010000
[Epoch 10 | Batch 1256 | Global Step 13826] Main LR: 0.00005379 | WD: 0.00010000
[Epoch 20 | Batch 0 | Global Step 25140] Main LR: 0.00003989 | WD: 0.00010000
[Epoch 20 | Batch 1 | Global Step 25141] Main LR: 0.00003989 | WD: 0.00010000
[Epoch 20 | Batch 2 | Global Step 25142] Main LR: 0.00003989 | WD: 0.00010000
[Epoch 20 | Batch 5 | Global Step 25145] Main LR: 0.00003988 | WD: 0.00010000
[Epoch 20 | Batch 10 | Global Step 25150] Main LR: 0.00003988 | WD: 0.00010000
[Epoch 20 | Batch 50 | Global Step 25190] Main LR: 0.00003985 | WD: 0.00010000
[Epoch 20 | Batch 70 | Global Step 25210] Main LR: 0.00003983 | WD: 0.00010000
[Epoch 20 | Batch 100 | Global Step 25240] Main LR: 0.00003981 | WD: 0.00010000
[Epoch 20 | Batch 200 | Global Step 25340] Main LR: 0.00003973 | WD: 0.00010000
[Epoch 20 | Batch 500 | Global Step 25640] Main LR: 0.00003950 | WD: 0.00010000
[Epoch 20 | Batch 1000 | Global Step 26140] Main LR: 0.00003912 | WD: 0.00010000
[Epoch 20 | Batch 1256 | Global Step 26396] Main LR: 0.00003893 | WD: 0.00010000
[Epoch 30 | Batch 0 | Global Step 37710] Main LR: 0.00003257 | WD: 0.00010000
[Epoch 30 | Batch 1 | Global Step 37711] Main LR: 0.00003257 | WD: 0.00010000
[Epoch 30 | Batch 2 | Global Step 37712] Main LR: 0.00003257 | WD: 0.00010000
[Epoch 30 | Batch 5 | Global Step 37715] Main LR: 0.00003257 | WD: 0.00010000
[Epoch 30 | Batch 10 | Global Step 37720] Main LR: 0.00003256 | WD: 0.00010000
[Epoch 30 | Batch 50 | Global Step 37760] Main LR: 0.00003255 | WD: 0.00010000
[Epoch 30 | Batch 70 | Global Step 37780] Main LR: 0.00003254 | WD: 0.00010000
[Epoch 30 | Batch 100 | Global Step 37810] Main LR: 0.00003253 | WD: 0.00010000
[Epoch 30 | Batch 200 | Global Step 37910] Main LR: 0.00003248 | WD: 0.00010000
[Epoch 30 | Batch 500 | Global Step 38210] Main LR: 0.00003236 | WD: 0.00010000
[Epoch 30 | Batch 1000 | Global Step 38710] Main LR: 0.00003215 | WD: 0.00010000
[Epoch 30 | Batch 1256 | Global Step 38966] Main LR: 0.00003204 | WD: 0.00010000
[Epoch 40 | Batch 0 | Global Step 50280] Main LR: 0.00002821 | WD: 0.00010000
[Epoch 40 | Batch 1 | Global Step 50281] Main LR: 0.00002821 | WD: 0.00010000
[Epoch 40 | Batch 2 | Global Step 50282] Main LR: 0.00002820 | WD: 0.00010000
[Epoch 40 | Batch 5 | Global Step 50285] Main LR: 0.00002820 | WD: 0.00010000
[Epoch 40 | Batch 10 | Global Step 50290] Main LR: 0.00002820 | WD: 0.00010000
[Epoch 40 | Batch 50 | Global Step 50330] Main LR: 0.00002819 | WD: 0.00010000
[Epoch 40 | Batch 70 | Global Step 50350] Main LR: 0.00002819 | WD: 0.00010000
[Epoch 40 | Batch 100 | Global Step 50380] Main LR: 0.00002818 | WD: 0.00010000
[Epoch 40 | Batch 200 | Global Step 50480] Main LR: 0.00002815 | WD: 0.00010000
[Epoch 40 | Batch 500 | Global Step 50780] Main LR: 0.00002807 | WD: 0.00010000
[Epoch 40 | Batch 1000 | Global Step 51280] Main LR: 0.00002793 | WD: 0.00010000
[Epoch 40 | Batch 1256 | Global Step 51536] Main LR: 0.00002786 | WD: 0.00010000
[Epoch 45 | Batch 0 | Global Step 56565] Main LR: 0.00002659 | WD: 0.00010000
[Epoch 45 | Batch 1 | Global Step 56566] Main LR: 0.00002659 | WD: 0.00010000
[Epoch 45 | Batch 2 | Global Step 56567] Main LR: 0.00002659 | WD: 0.00010000
[Epoch 45 | Batch 5 | Global Step 56570] Main LR: 0.00002659 | WD: 0.00010000
[Epoch 45 | Batch 10 | Global Step 56575] Main LR: 0.00002659 | WD: 0.00010000
[Epoch 45 | Batch 50 | Global Step 56615] Main LR: 0.00002658 | WD: 0.00010000
[Epoch 45 | Batch 70 | Global Step 56635] Main LR: 0.00002658 | WD: 0.00010000
[Epoch 45 | Batch 100 | Global Step 56665] Main LR: 0.00002657 | WD: 0.00010000
[Epoch 45 | Batch 200 | Global Step 56765] Main LR: 0.00002655 | WD: 0.00010000
[Epoch 45 | Batch 500 | Global Step 57065] Main LR: 0.00002648 | WD: 0.00010000
[Epoch 45 | Batch 1000 | Global Step 57565] Main LR: 0.00002636 | WD: 0.00010000
[Epoch 45 | Batch 1256 | Global Step 57821] Main LR: 0.00002630 | WD: 0.00010000
