Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn

Epoch 0 | Train Loss: 7.467 | LR: 0.00003142
Epoch 1 | Train Loss: 6.316 | LR: 0.00006285
Epoch 2 | Train Loss: 5.708 | LR: 0.00009428
Epoch 3 | Train Loss: 5.122 | LR: 0.00008919
Epoch 4 | Train Loss: 4.715 | LR: 0.00007978
Epoch 5 | Train Loss: 4.441 | LR: 0.00007283
Epoch 6 | Train Loss: 4.242 | LR: 0.00006742
Epoch 7 | Train Loss: 4.092 | LR: 0.00006307
Epoch 8 | Train Loss: 3.972 | LR: 0.00005946
Epoch 9 | Train Loss: 3.866 | LR: 0.00005641
Epoch 10 | Train Loss: 3.778 | LR: 0.00005379
Epoch 11 | Train Loss: 3.701 | LR: 0.00005150
Epoch 12 | Train Loss: 3.635 | LR: 0.00004948
Epoch 13 | Train Loss: 3.576 | LR: 0.00004768
Epoch 14 | Train Loss: 3.528 | LR: 0.00004606
Epoch 15 | Train Loss: 3.482 | LR: 0.00004460
Epoch 16 | Train Loss: 3.443 | LR: 0.00004327
Epoch 17 | Train Loss: 3.408 | LR: 0.00004205
Epoch 18 | Train Loss: 3.377 | LR: 0.00004092
Epoch 19 | Train Loss: 3.347 | LR: 0.00003989
Epoch 20 | Train Loss: 3.322 | LR: 0.00003893
Epoch 21 | Train Loss: 3.295 | LR: 0.00003803
Epoch 22 | Train Loss: 3.272 | LR: 0.00003720
Epoch 23 | Train Loss: 3.246 | LR: 0.00003641
Epoch 24 | Train Loss: 3.228 | LR: 0.00003568
Epoch 25 | Train Loss: 3.210 | LR: 0.00003498
Epoch 26 | Train Loss: 3.189 | LR: 0.00003433
Epoch 27 | Train Loss: 3.173 | LR: 0.00003371
Epoch 28 | Train Loss: 3.156 | LR: 0.00003313
Epoch 29 | Train Loss: 3.141 | LR: 0.00003257
Epoch 30 | Train Loss: 3.126 | LR: 0.00003204
Epoch 31 | Train Loss: 3.113 | LR: 0.00003153
Epoch 32 | Train Loss: 3.100 | LR: 0.00003105
Epoch 33 | Train Loss: 3.088 | LR: 0.00003059
Epoch 34 | Train Loss: 3.075 | LR: 0.00003015
Epoch 35 | Train Loss: 3.064 | LR: 0.00002973
Epoch 36 | Train Loss: 3.052 | LR: 0.00002933
Epoch 37 | Train Loss: 3.041 | LR: 0.00002894
Epoch 38 | Train Loss: 3.031 | LR: 0.00002856
Epoch 39 | Train Loss: 3.023 | LR: 0.00002821
Epoch 40 | Train Loss: 3.014 | LR: 0.00002786
Epoch 41 | Train Loss: 3.006 | LR: 0.00002753
Epoch 42 | Train Loss: 2.997 | LR: 0.00002720
Epoch 43 | Train Loss: 2.989 | LR: 0.00002689
Epoch 44 | Train Loss: 2.981 | LR: 0.00002659
Epoch 45 | Train Loss: 2.973 | LR: 0.00002630
Epoch 46 | Train Loss: 2.966 | LR: 0.00002602
Epoch 47 | Train Loss: 2.959 | LR: 0.00002575
Epoch 48 | Train Loss: 2.951 | LR: 0.00002548
Epoch 49 | Train Loss: 2.946 | LR: 0.00002523
