Epoch 0 | Train Loss: 7.469 | LR: 0.00003142
Epoch 1 | Train Loss: 6.319 | LR: 0.00006285
Epoch 2 | Train Loss: 5.718 | LR: 0.00009428
Epoch 3 | Train Loss: 5.138 | LR: 0.00008919
Epoch 4 | Train Loss: 4.727 | LR: 0.00007978
Epoch 5 | Train Loss: 4.450 | LR: 0.00007283
Epoch 6 | Train Loss: 4.251 | LR: 0.00006742
Epoch 7 | Train Loss: 4.097 | LR: 0.00006307
Epoch 8 | Train Loss: 3.971 | LR: 0.00005946
Epoch 9 | Train Loss: 3.865 | LR: 0.00005641
Epoch 10 | Train Loss: 3.781 | LR: 0.00005379
Epoch 11 | Train Loss: 3.706 | LR: 0.00005150
Epoch 12 | Train Loss: 3.643 | LR: 0.00004948
Epoch 13 | Train Loss: 3.586 | LR: 0.00004768
Epoch 14 | Train Loss: 3.542 | LR: 0.00004606
Epoch 15 | Train Loss: 3.496 | LR: 0.00004460
Epoch 16 | Train Loss: 3.459 | LR: 0.00004327
Epoch 17 | Train Loss: 3.425 | LR: 0.00004205
Epoch 18 | Train Loss: 3.394 | LR: 0.00004092
Epoch 19 | Train Loss: 3.366 | LR: 0.00003989
Epoch 20 | Train Loss: 3.340 | LR: 0.00003893
Epoch 21 | Train Loss: 3.313 | LR: 0.00003803
Epoch 22 | Train Loss: 3.293 | LR: 0.00003720
Epoch 23 | Train Loss: 3.268 | LR: 0.00003641
Epoch 24 | Train Loss: 3.249 | LR: 0.00003568
Epoch 25 | Train Loss: 3.232 | LR: 0.00003498
Epoch 26 | Train Loss: 3.213 | LR: 0.00003433
Epoch 27 | Train Loss: 3.198 | LR: 0.00003371
Epoch 28 | Train Loss: 3.181 | LR: 0.00003313
Epoch 29 | Train Loss: 3.167 | LR: 0.00003257
Epoch 30 | Train Loss: 3.154 | LR: 0.00003204
Epoch 31 | Train Loss: 3.141 | LR: 0.00003153
Epoch 32 | Train Loss: 3.131 | LR: 0.00003105
Epoch 33 | Train Loss: 3.117 | LR: 0.00003059
Epoch 34 | Train Loss: 3.106 | LR: 0.00003015
Epoch 35 | Train Loss: 3.095 | LR: 0.00002973
Epoch 36 | Train Loss: 3.085 | LR: 0.00002933
Epoch 37 | Train Loss: 3.077 | LR: 0.00002894
Epoch 38 | Train Loss: 3.066 | LR: 0.00002856
Epoch 39 | Train Loss: 3.059 | LR: 0.00002821
Epoch 40 | Train Loss: 3.050 | LR: 0.00002786
Epoch 41 | Train Loss: 3.042 | LR: 0.00002753
Epoch 42 | Train Loss: 3.034 | LR: 0.00002720
Epoch 43 | Train Loss: 3.026 | LR: 0.00002689
Epoch 44 | Train Loss: 3.021 | LR: 0.00002659
Epoch 45 | Train Loss: 3.012 | LR: 0.00002630
Epoch 46 | Train Loss: 3.006 | LR: 0.00002602
Epoch 47 | Train Loss: 3.000 | LR: 0.00002575
Epoch 48 | Train Loss: 2.993 | LR: 0.00002548
Epoch 49 | Train Loss: 2.988 | LR: 0.00002523
