Epoch 0 | Last Batch 1256 | M_Optimizer LR => 0.00003142 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 12.15 sec
Epoch 1 | Last Batch 1256 | M_Optimizer LR => 0.00006285 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 11.84 sec
Epoch 2 | Last Batch 1256 | M_Optimizer LR => 0.00009428 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 13.26 sec
Epoch 3 | Last Batch 1256 | M_Optimizer LR => 0.00008919 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 11.13 sec
Epoch 4 | Last Batch 1256 | M_Optimizer LR => 0.00007978 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 10.88 sec
Epoch 5 | Last Batch 1256 | M_Optimizer LR => 0.00007283 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 10.64 sec
Epoch 6 | Last Batch 1256 | M_Optimizer LR => 0.00006742 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 11.27 sec
Epoch 7 | Last Batch 1256 | M_Optimizer LR => 0.00006307 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 11.88 sec
Epoch 8 | Last Batch 1256 | M_Optimizer LR => 0.00005946 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 11.10 sec
Epoch 9 | Last Batch 1256 | M_Optimizer LR => 0.00005641 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 10.79 sec
Epoch 10 | Last Batch 1256 | M_Optimizer LR => 0.00005379 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 10.66 sec
Epoch 11 | Last Batch 1256 | M_Optimizer LR => 0.00005150 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 10.64 sec
Epoch 12 | Last Batch 1256 | M_Optimizer LR => 0.00004948 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 12.85 sec
Epoch 13 | Last Batch 1256 | M_Optimizer LR => 0.00004768 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 11.58 sec
Epoch 14 | Last Batch 1256 | M_Optimizer LR => 0.00004606 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 10.22 sec
Epoch 15 | Last Batch 1256 | M_Optimizer LR => 0.00004460 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 12.56 sec
Epoch 16 | Last Batch 1256 | M_Optimizer LR => 0.00004327 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 10.89 sec
Epoch 17 | Last Batch 1256 | M_Optimizer LR => 0.00004205 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 12.60 sec
Epoch 18 | Last Batch 1256 | M_Optimizer LR => 0.00004092 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 10.76 sec
Epoch 19 | Last Batch 1256 | M_Optimizer LR => 0.00003989 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 9.72 sec
Epoch 20 | Last Batch 1256 | M_Optimizer LR => 0.00003893 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 11.44 sec
Epoch 21 | Last Batch 1256 | M_Optimizer LR => 0.00003803 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 9.88 sec
