Model: Baseline Fairseq Transformer

Epoch 0 | Train Loss: 6.979 | LR: 0.00003130
Epoch 1 | Train Loss: 5.719 | LR: 0.00006260
Epoch 2 | Train Loss: 5.227 | LR: 0.00009390
Epoch 3 | Train Loss: 4.787 | LR: 0.00008937
Epoch 4 | Train Loss: 4.393 | LR: 0.00007994
Epoch 5 | Train Loss: 4.131 | LR: 0.00007297
Epoch 6 | Train Loss: 3.947 | LR: 0.00006756
Epoch 7 | Train Loss: 3.808 | LR: 0.00006320
Epoch 8 | Train Loss: 3.690 | LR: 0.00005958
Epoch 9 | Train Loss: 3.596 | LR: 0.00005652
Epoch 10 | Train Loss: 3.516 | LR: 0.00005389
Epoch 11 | Train Loss: 3.448 | LR: 0.00005160
Epoch 12 | Train Loss: 3.390 | LR: 0.00004957
Epoch 13 | Train Loss: 3.342 | LR: 0.00004777
Epoch 14 | Train Loss: 3.300 | LR: 0.00004615
Epoch 15 | Train Loss: 3.261 | LR: 0.00004469
Epoch 16 | Train Loss: 3.231 | LR: 0.00004335
Epoch 17 | Train Loss: 3.200 | LR: 0.00004213
Epoch 18 | Train Loss: 3.173 | LR: 0.00004101
Epoch 19 | Train Loss: 3.148 | LR: 0.00003997
Epoch 20 | Train Loss: 3.130 | LR: 0.00003900
Epoch 21 | Train Loss: 3.106 | LR: 0.00003811
Epoch 22 | Train Loss: 3.087 | LR: 0.00003727
Epoch 23 | Train Loss: 3.070 | LR: 0.00003649
Epoch 24 | Train Loss: 3.052 | LR: 0.00003575
Epoch 25 | Train Loss: 3.037 | LR: 0.00003505
Epoch 26 | Train Loss: 3.023 | LR: 0.00003440
Epoch 27 | Train Loss: 3.011 | LR: 0.00003378
Epoch 28 | Train Loss: 2.996 | LR: 0.00003319
Epoch 29 | Train Loss: 2.984 | LR: 0.00003263
Epoch 30 | Train Loss: 2.972 | LR: 0.00003210
Epoch 31 | Train Loss: 2.960 | LR: 0.00003160
Epoch 32 | Train Loss: 2.951 | LR: 0.00003112
Epoch 33 | Train Loss: 2.941 | LR: 0.00003065
Epoch 34 | Train Loss: 2.931 | LR: 0.00003021
Epoch 35 | Train Loss: 2.923 | LR: 0.00002979
Epoch 36 | Train Loss: 2.913 | LR: 0.00002939
Epoch 37 | Train Loss: 2.906 | LR: 0.00002900
Epoch 38 | Train Loss: 2.897 | LR: 0.00002862
Epoch 39 | Train Loss: 2.890 | LR: 0.00002826
Epoch 40 | Train Loss: 2.883 | LR: 0.00002791
Epoch 41 | Train Loss: 2.874 | LR: 0.00002758
Epoch 42 | Train Loss: 2.870 | LR: 0.00002726
Epoch 43 | Train Loss: 2.862 | LR: 0.00002695
Epoch 44 | Train Loss: 2.856 | LR: 0.00002665
Epoch 45 | Train Loss: 2.851 | LR: 0.00002635
Epoch 46 | Train Loss: 2.845 | LR: 0.00002607
Epoch 47 | Train Loss: 2.840 | LR: 0.00002580
Epoch 48 | Train Loss: 2.834 | LR: 0.00002553
Epoch 49 | Train Loss: 2.830 | LR: 0.00002528
