[Epoch 0 | Batch 0 | Global Step 0] Main LR: 0.00000003 | WD: 0.00010000
[Epoch 0 | Batch 1 | Global Step 1] Main LR: 0.00000003 | WD: 0.00010000
[Epoch 0 | Batch 2 | Global Step 2] Main LR: 0.00000005 | WD: 0.00010000
[Epoch 0 | Batch 5 | Global Step 5] Main LR: 0.00000013 | WD: 0.00010000
[Epoch 0 | Batch 10 | Global Step 10] Main LR: 0.00000025 | WD: 0.00010000
[Epoch 0 | Batch 50 | Global Step 50] Main LR: 0.00000125 | WD: 0.00010000
[Epoch 0 | Batch 70 | Global Step 70] Main LR: 0.00000175 | WD: 0.00010000
[Epoch 0 | Batch 100 | Global Step 100] Main LR: 0.00000250 | WD: 0.00010000
[Epoch 0 | Batch 200 | Global Step 200] Main LR: 0.00000500 | WD: 0.00010000
[Epoch 0 | Batch 500 | Global Step 500] Main LR: 0.00001250 | WD: 0.00010000
[Epoch 0 | Batch 1000 | Global Step 1000] Main LR: 0.00002500 | WD: 0.00010000
[Epoch 0 | Batch 1251 | Global Step 1251] Main LR: 0.00003128 | WD: 0.00010000
[Epoch 1 | Batch 0 | Global Step 1252] Main LR: 0.00003130 | WD: 0.00010000
[Epoch 1 | Batch 1 | Global Step 1253] Main LR: 0.00003132 | WD: 0.00010000
[Epoch 1 | Batch 2 | Global Step 1254] Main LR: 0.00003135 | WD: 0.00010000
[Epoch 1 | Batch 5 | Global Step 1257] Main LR: 0.00003142 | WD: 0.00010000
[Epoch 1 | Batch 10 | Global Step 1262] Main LR: 0.00003155 | WD: 0.00010000
[Epoch 1 | Batch 50 | Global Step 1302] Main LR: 0.00003255 | WD: 0.00010000
[Epoch 1 | Batch 70 | Global Step 1322] Main LR: 0.00003305 | WD: 0.00010000
[Epoch 1 | Batch 100 | Global Step 1352] Main LR: 0.00003380 | WD: 0.00010000
[Epoch 1 | Batch 200 | Global Step 1452] Main LR: 0.00003630 | WD: 0.00010000
[Epoch 1 | Batch 500 | Global Step 1752] Main LR: 0.00004380 | WD: 0.00010000
[Epoch 1 | Batch 1000 | Global Step 2252] Main LR: 0.00005630 | WD: 0.00010000
[Epoch 1 | Batch 1251 | Global Step 2503] Main LR: 0.00006258 | WD: 0.00010000
[Epoch 3 | Batch 0 | Global Step 3756] Main LR: 0.00009390 | WD: 0.00010000
[Epoch 3 | Batch 1 | Global Step 3757] Main LR: 0.00009393 | WD: 0.00010000
[Epoch 3 | Batch 2 | Global Step 3758] Main LR: 0.00009395 | WD: 0.00010000
[Epoch 3 | Batch 5 | Global Step 3761] Main LR: 0.00009403 | WD: 0.00010000
[Epoch 3 | Batch 10 | Global Step 3766] Main LR: 0.00009415 | WD: 0.00010000
[Epoch 3 | Batch 50 | Global Step 3806] Main LR: 0.00009515 | WD: 0.00010000
[Epoch 3 | Batch 70 | Global Step 3826] Main LR: 0.00009565 | WD: 0.00010000
[Epoch 3 | Batch 100 | Global Step 3856] Main LR: 0.00009640 | WD: 0.00010000
[Epoch 3 | Batch 200 | Global Step 3956] Main LR: 0.00009890 | WD: 0.00010000
[Epoch 3 | Batch 500 | Global Step 4256] Main LR: 0.00009695 | WD: 0.00010000
[Epoch 3 | Batch 1000 | Global Step 4756] Main LR: 0.00009171 | WD: 0.00010000
[Epoch 3 | Batch 1251 | Global Step 5007] Main LR: 0.00008938 | WD: 0.00010000
[Epoch 5 | Batch 0 | Global Step 6260] Main LR: 0.00007994 | WD: 0.00010000
[Epoch 5 | Batch 1 | Global Step 6261] Main LR: 0.00007993 | WD: 0.00010000
[Epoch 5 | Batch 2 | Global Step 6262] Main LR: 0.00007992 | WD: 0.00010000
[Epoch 5 | Batch 5 | Global Step 6265] Main LR: 0.00007990 | WD: 0.00010000
[Epoch 5 | Batch 10 | Global Step 6270] Main LR: 0.00007987 | WD: 0.00010000
[Epoch 5 | Batch 50 | Global Step 6310] Main LR: 0.00007962 | WD: 0.00010000
[Epoch 5 | Batch 70 | Global Step 6330] Main LR: 0.00007949 | WD: 0.00010000
[Epoch 5 | Batch 100 | Global Step 6360] Main LR: 0.00007931 | WD: 0.00010000
[Epoch 5 | Batch 200 | Global Step 6460] Main LR: 0.00007869 | WD: 0.00010000
[Epoch 5 | Batch 500 | Global Step 6760] Main LR: 0.00007692 | WD: 0.00010000
[Epoch 5 | Batch 1000 | Global Step 7260] Main LR: 0.00007423 | WD: 0.00010000
[Epoch 5 | Batch 1251 | Global Step 7511] Main LR: 0.00007298 | WD: 0.00010000
[Epoch 10 | Batch 0 | Global Step 12520] Main LR: 0.00005652 | WD: 0.00010000
[Epoch 10 | Batch 1 | Global Step 12521] Main LR: 0.00005652 | WD: 0.00010000
[Epoch 10 | Batch 2 | Global Step 12522] Main LR: 0.00005652 | WD: 0.00010000
[Epoch 10 | Batch 5 | Global Step 12525] Main LR: 0.00005651 | WD: 0.00010000
[Epoch 10 | Batch 10 | Global Step 12530] Main LR: 0.00005650 | WD: 0.00010000
[Epoch 10 | Batch 50 | Global Step 12570] Main LR: 0.00005641 | WD: 0.00010000
[Epoch 10 | Batch 70 | Global Step 12590] Main LR: 0.00005637 | WD: 0.00010000
[Epoch 10 | Batch 100 | Global Step 12620] Main LR: 0.00005630 | WD: 0.00010000
[Epoch 10 | Batch 200 | Global Step 12720] Main LR: 0.00005608 | WD: 0.00010000
[Epoch 10 | Batch 500 | Global Step 13020] Main LR: 0.00005543 | WD: 0.00010000
[Epoch 10 | Batch 1000 | Global Step 13520] Main LR: 0.00005439 | WD: 0.00010000
[Epoch 10 | Batch 1251 | Global Step 13771] Main LR: 0.00005389 | WD: 0.00010000
[Epoch 20 | Batch 0 | Global Step 25040] Main LR: 0.00003997 | WD: 0.00010000
[Epoch 20 | Batch 1 | Global Step 25041] Main LR: 0.00003997 | WD: 0.00010000
[Epoch 20 | Batch 2 | Global Step 25042] Main LR: 0.00003997 | WD: 0.00010000
[Epoch 20 | Batch 5 | Global Step 25045] Main LR: 0.00003996 | WD: 0.00010000
[Epoch 20 | Batch 10 | Global Step 25050] Main LR: 0.00003996 | WD: 0.00010000
[Epoch 20 | Batch 50 | Global Step 25090] Main LR: 0.00003993 | WD: 0.00010000
[Epoch 20 | Batch 70 | Global Step 25110] Main LR: 0.00003991 | WD: 0.00010000
[Epoch 20 | Batch 100 | Global Step 25140] Main LR: 0.00003989 | WD: 0.00010000
[Epoch 20 | Batch 200 | Global Step 25240] Main LR: 0.00003981 | WD: 0.00010000
[Epoch 20 | Batch 500 | Global Step 25540] Main LR: 0.00003957 | WD: 0.00010000
[Epoch 20 | Batch 1000 | Global Step 26040] Main LR: 0.00003919 | WD: 0.00010000
[Epoch 20 | Batch 1251 | Global Step 26291] Main LR: 0.00003901 | WD: 0.00010000
[Epoch 30 | Batch 0 | Global Step 37560] Main LR: 0.00003263 | WD: 0.00010000
[Epoch 30 | Batch 1 | Global Step 37561] Main LR: 0.00003263 | WD: 0.00010000
[Epoch 30 | Batch 2 | Global Step 37562] Main LR: 0.00003263 | WD: 0.00010000
[Epoch 30 | Batch 5 | Global Step 37565] Main LR: 0.00003263 | WD: 0.00010000
[Epoch 30 | Batch 10 | Global Step 37570] Main LR: 0.00003263 | WD: 0.00010000
[Epoch 30 | Batch 50 | Global Step 37610] Main LR: 0.00003261 | WD: 0.00010000
[Epoch 30 | Batch 70 | Global Step 37630] Main LR: 0.00003260 | WD: 0.00010000
[Epoch 30 | Batch 100 | Global Step 37660] Main LR: 0.00003259 | WD: 0.00010000
[Epoch 30 | Batch 200 | Global Step 37760] Main LR: 0.00003255 | WD: 0.00010000
[Epoch 30 | Batch 500 | Global Step 38060] Main LR: 0.00003242 | WD: 0.00010000
[Epoch 30 | Batch 1000 | Global Step 38560] Main LR: 0.00003221 | WD: 0.00010000
[Epoch 30 | Batch 1251 | Global Step 38811] Main LR: 0.00003210 | WD: 0.00010000
[Epoch 40 | Batch 0 | Global Step 50080] Main LR: 0.00002826 | WD: 0.00010000
[Epoch 40 | Batch 1 | Global Step 50081] Main LR: 0.00002826 | WD: 0.00010000
[Epoch 40 | Batch 2 | Global Step 50082] Main LR: 0.00002826 | WD: 0.00010000
[Epoch 40 | Batch 5 | Global Step 50085] Main LR: 0.00002826 | WD: 0.00010000
[Epoch 40 | Batch 10 | Global Step 50090] Main LR: 0.00002826 | WD: 0.00010000
[Epoch 40 | Batch 50 | Global Step 50130] Main LR: 0.00002825 | WD: 0.00010000
[Epoch 40 | Batch 70 | Global Step 50150] Main LR: 0.00002824 | WD: 0.00010000
[Epoch 40 | Batch 100 | Global Step 50180] Main LR: 0.00002823 | WD: 0.00010000
[Epoch 40 | Batch 200 | Global Step 50280] Main LR: 0.00002821 | WD: 0.00010000
[Epoch 40 | Batch 500 | Global Step 50580] Main LR: 0.00002812 | WD: 0.00010000
[Epoch 40 | Batch 1000 | Global Step 51080] Main LR: 0.00002798 | WD: 0.00010000
[Epoch 40 | Batch 1251 | Global Step 51331] Main LR: 0.00002792 | WD: 0.00010000
[Epoch 45 | Batch 0 | Global Step 56340] Main LR: 0.00002665 | WD: 0.00010000
[Epoch 45 | Batch 1 | Global Step 56341] Main LR: 0.00002665 | WD: 0.00010000
[Epoch 45 | Batch 2 | Global Step 56342] Main LR: 0.00002664 | WD: 0.00010000
[Epoch 45 | Batch 5 | Global Step 56345] Main LR: 0.00002664 | WD: 0.00010000
[Epoch 45 | Batch 10 | Global Step 56350] Main LR: 0.00002664 | WD: 0.00010000
[Epoch 45 | Batch 50 | Global Step 56390] Main LR: 0.00002663 | WD: 0.00010000
[Epoch 45 | Batch 70 | Global Step 56410] Main LR: 0.00002663 | WD: 0.00010000
[Epoch 45 | Batch 100 | Global Step 56440] Main LR: 0.00002662 | WD: 0.00010000
[Epoch 45 | Batch 200 | Global Step 56540] Main LR: 0.00002660 | WD: 0.00010000
[Epoch 45 | Batch 500 | Global Step 56840] Main LR: 0.00002653 | WD: 0.00010000
[Epoch 45 | Batch 1000 | Global Step 57340] Main LR: 0.00002641 | WD: 0.00010000
[Epoch 45 | Batch 1251 | Global Step 57591] Main LR: 0.00002635 | WD: 0.00010000
