Epoch 0 | Last Batch 1510 | M_Optimizer LR => 0.00003777 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.71 sec
Epoch 1 | Last Batch 1510 | M_Optimizer LR => 0.00007555 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.36 sec
Epoch 2 | Last Batch 1510 | M_Optimizer LR => 0.00009394 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.59 sec
Epoch 3 | Last Batch 1510 | M_Optimizer LR => 0.00008135 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.01 sec
Epoch 4 | Last Batch 1510 | M_Optimizer LR => 0.00007276 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.97 sec
Epoch 5 | Last Batch 1510 | M_Optimizer LR => 0.00006642 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.47 sec
Epoch 6 | Last Batch 1510 | M_Optimizer LR => 0.00006150 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.65 sec
Epoch 7 | Last Batch 1510 | M_Optimizer LR => 0.00005752 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 33.38 sec
Epoch 8 | Last Batch 1510 | M_Optimizer LR => 0.00005423 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.43 sec
Epoch 9 | Last Batch 1510 | M_Optimizer LR => 0.00005145 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.70 sec
Epoch 10 | Last Batch 1510 | M_Optimizer LR => 0.00004906 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.43 sec
Epoch 11 | Last Batch 1510 | M_Optimizer LR => 0.00004697 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 33.49 sec
Epoch 12 | Last Batch 1510 | M_Optimizer LR => 0.00004513 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.72 sec
Epoch 13 | Last Batch 1510 | M_Optimizer LR => 0.00004348 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.90 sec
Epoch 14 | Last Batch 1510 | M_Optimizer LR => 0.00004201 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.49 sec
Epoch 15 | Last Batch 1510 | M_Optimizer LR => 0.00004068 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.68 sec
Epoch 16 | Last Batch 1510 | M_Optimizer LR => 0.00003946 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.85 sec
Epoch 17 | Last Batch 1510 | M_Optimizer LR => 0.00003835 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.96 sec
Epoch 18 | Last Batch 1510 | M_Optimizer LR => 0.00003733 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.65 sec
Epoch 19 | Last Batch 1510 | M_Optimizer LR => 0.00003638 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.41 sec
Epoch 20 | Last Batch 1510 | M_Optimizer LR => 0.00003550 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.90 sec
Epoch 21 | Last Batch 1510 | M_Optimizer LR => 0.00003469 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.81 sec
Epoch 22 | Last Batch 1510 | M_Optimizer LR => 0.00003393 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.14 sec
Epoch 23 | Last Batch 1510 | M_Optimizer LR => 0.00003321 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.52 sec
Epoch 24 | Last Batch 1510 | M_Optimizer LR => 0.00003254 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.85 sec
Epoch 25 | Last Batch 1510 | M_Optimizer LR => 0.00003191 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.10 sec
Epoch 26 | Last Batch 1510 | M_Optimizer LR => 0.00003131 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 32.79 sec
Epoch 27 | Last Batch 1510 | M_Optimizer LR => 0.00003075 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.66 sec
Epoch 28 | Last Batch 1510 | M_Optimizer LR => 0.00003021 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.92 sec
Epoch 29 | Last Batch 1510 | M_Optimizer LR => 0.00002971 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.82 sec
Epoch 30 | Last Batch 1510 | M_Optimizer LR => 0.00002922 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.02 sec
Epoch 31 | Last Batch 1510 | M_Optimizer LR => 0.00002876 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.95 sec
Epoch 32 | Last Batch 1510 | M_Optimizer LR => 0.00002832 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.47 sec
Epoch 33 | Last Batch 1510 | M_Optimizer LR => 0.00002790 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.25 sec
Epoch 34 | Last Batch 1510 | M_Optimizer LR => 0.00002750 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.30 sec
Epoch 35 | Last Batch 1510 | M_Optimizer LR => 0.00002712 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.83 sec
Epoch 36 | Last Batch 1510 | M_Optimizer LR => 0.00002675 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.74 sec
Epoch 37 | Last Batch 1510 | M_Optimizer LR => 0.00002639 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.95 sec
Epoch 38 | Last Batch 1510 | M_Optimizer LR => 0.00002605 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.10 sec
Epoch 39 | Last Batch 1510 | M_Optimizer LR => 0.00002573 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.99 sec
Epoch 40 | Last Batch 1510 | M_Optimizer LR => 0.00002541 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.75 sec
Epoch 41 | Last Batch 1510 | M_Optimizer LR => 0.00002511 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 33.08 sec
Epoch 42 | Last Batch 1510 | M_Optimizer LR => 0.00002481 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.78 sec
Epoch 43 | Last Batch 1510 | M_Optimizer LR => 0.00002453 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.88 sec
Epoch 44 | Last Batch 1510 | M_Optimizer LR => 0.00002425 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.63 sec
Epoch 45 | Last Batch 1510 | M_Optimizer LR => 0.00002399 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.16 sec
Epoch 46 | Last Batch 1510 | M_Optimizer LR => 0.00002373 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.28 sec
Epoch 47 | Last Batch 1510 | M_Optimizer LR => 0.00002348 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.47 sec
Epoch 48 | Last Batch 1510 | M_Optimizer LR => 0.00002324 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.53 sec
Epoch 49 | Last Batch 1510 | M_Optimizer LR => 0.00002301 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.94 sec

🕒 Total Training Time => TDM_Former: 79 min 51.83 sec
