[Epoch 0 | Batch 0 | Global Step 0] Main LR: 0.00000003 | WD: 0.00010000
[Epoch 0 | Batch 1 | Global Step 1] Main LR: 0.00000003 | WD: 0.00010000
[Epoch 0 | Batch 2 | Global Step 2] Main LR: 0.00000005 | WD: 0.00010000
[Epoch 0 | Batch 5 | Global Step 5] Main LR: 0.00000013 | WD: 0.00010000
[Epoch 0 | Batch 10 | Global Step 10] Main LR: 0.00000025 | WD: 0.00010000
[Epoch 0 | Batch 50 | Global Step 50] Main LR: 0.00000125 | WD: 0.00010000
[Epoch 0 | Batch 70 | Global Step 70] Main LR: 0.00000175 | WD: 0.00010000
[Epoch 0 | Batch 100 | Global Step 100] Main LR: 0.00000250 | WD: 0.00010000
[Epoch 0 | Batch 200 | Global Step 200] Main LR: 0.00000500 | WD: 0.00010000
[Epoch 0 | Batch 500 | Global Step 500] Main LR: 0.00001250 | WD: 0.00010000
[Epoch 0 | Batch 1000 | Global Step 1000] Main LR: 0.00002500 | WD: 0.00010000
[Epoch 0 | Batch 1500 | Global Step 1500] Main LR: 0.00003750 | WD: 0.00010000
[Epoch 0 | Batch 1510 | Global Step 1510] Main LR: 0.00003775 | WD: 0.00010000
[Epoch 1 | Batch 0 | Global Step 1511] Main LR: 0.00003777 | WD: 0.00010000
[Epoch 1 | Batch 1 | Global Step 1512] Main LR: 0.00003780 | WD: 0.00010000
[Epoch 1 | Batch 2 | Global Step 1513] Main LR: 0.00003782 | WD: 0.00010000
[Epoch 1 | Batch 5 | Global Step 1516] Main LR: 0.00003790 | WD: 0.00010000
[Epoch 1 | Batch 10 | Global Step 1521] Main LR: 0.00003803 | WD: 0.00010000
[Epoch 1 | Batch 50 | Global Step 1561] Main LR: 0.00003902 | WD: 0.00010000
[Epoch 1 | Batch 70 | Global Step 1581] Main LR: 0.00003952 | WD: 0.00010000
[Epoch 1 | Batch 100 | Global Step 1611] Main LR: 0.00004028 | WD: 0.00010000
[Epoch 1 | Batch 200 | Global Step 1711] Main LR: 0.00004278 | WD: 0.00010000
[Epoch 1 | Batch 500 | Global Step 2011] Main LR: 0.00005028 | WD: 0.00010000
[Epoch 1 | Batch 1000 | Global Step 2511] Main LR: 0.00006278 | WD: 0.00010000
[Epoch 1 | Batch 1500 | Global Step 3011] Main LR: 0.00007528 | WD: 0.00010000
[Epoch 1 | Batch 1510 | Global Step 3021] Main LR: 0.00007553 | WD: 0.00010000
[Epoch 3 | Batch 0 | Global Step 4533] Main LR: 0.00009394 | WD: 0.00010000
[Epoch 3 | Batch 1 | Global Step 4534] Main LR: 0.00009393 | WD: 0.00010000
[Epoch 3 | Batch 2 | Global Step 4535] Main LR: 0.00009392 | WD: 0.00010000
[Epoch 3 | Batch 5 | Global Step 4538] Main LR: 0.00009389 | WD: 0.00010000
[Epoch 3 | Batch 10 | Global Step 4543] Main LR: 0.00009383 | WD: 0.00010000
[Epoch 3 | Batch 50 | Global Step 4583] Main LR: 0.00009342 | WD: 0.00010000
[Epoch 3 | Batch 70 | Global Step 4603] Main LR: 0.00009322 | WD: 0.00010000
[Epoch 3 | Batch 100 | Global Step 4633] Main LR: 0.00009292 | WD: 0.00010000
[Epoch 3 | Batch 200 | Global Step 4733] Main LR: 0.00009193 | WD: 0.00010000
[Epoch 3 | Batch 500 | Global Step 5033] Main LR: 0.00008915 | WD: 0.00010000
[Epoch 3 | Batch 1000 | Global Step 5533] Main LR: 0.00008503 | WD: 0.00010000
[Epoch 3 | Batch 1500 | Global Step 6033] Main LR: 0.00008143 | WD: 0.00010000
[Epoch 3 | Batch 1510 | Global Step 6043] Main LR: 0.00008136 | WD: 0.00010000
[Epoch 5 | Batch 0 | Global Step 7555] Main LR: 0.00007276 | WD: 0.00010000
[Epoch 5 | Batch 1 | Global Step 7556] Main LR: 0.00007276 | WD: 0.00010000
[Epoch 5 | Batch 2 | Global Step 7557] Main LR: 0.00007275 | WD: 0.00010000
[Epoch 5 | Batch 5 | Global Step 7560] Main LR: 0.00007274 | WD: 0.00010000
[Epoch 5 | Batch 10 | Global Step 7565] Main LR: 0.00007272 | WD: 0.00010000
[Epoch 5 | Batch 50 | Global Step 7605] Main LR: 0.00007252 | WD: 0.00010000
[Epoch 5 | Batch 70 | Global Step 7625] Main LR: 0.00007243 | WD: 0.00010000
[Epoch 5 | Batch 100 | Global Step 7655] Main LR: 0.00007229 | WD: 0.00010000
[Epoch 5 | Batch 200 | Global Step 7755] Main LR: 0.00007182 | WD: 0.00010000
[Epoch 5 | Batch 500 | Global Step 8055] Main LR: 0.00007047 | WD: 0.00010000
[Epoch 5 | Batch 1000 | Global Step 8555] Main LR: 0.00006838 | WD: 0.00010000
[Epoch 5 | Batch 1500 | Global Step 9055] Main LR: 0.00006646 | WD: 0.00010000
[Epoch 5 | Batch 1510 | Global Step 9065] Main LR: 0.00006643 | WD: 0.00010000
[Epoch 10 | Batch 0 | Global Step 15110] Main LR: 0.00005145 | WD: 0.00010000
[Epoch 10 | Batch 1 | Global Step 15111] Main LR: 0.00005145 | WD: 0.00010000
[Epoch 10 | Batch 2 | Global Step 15112] Main LR: 0.00005145 | WD: 0.00010000
[Epoch 10 | Batch 5 | Global Step 15115] Main LR: 0.00005144 | WD: 0.00010000
[Epoch 10 | Batch 10 | Global Step 15120] Main LR: 0.00005143 | WD: 0.00010000
[Epoch 10 | Batch 50 | Global Step 15160] Main LR: 0.00005137 | WD: 0.00010000
[Epoch 10 | Batch 70 | Global Step 15180] Main LR: 0.00005133 | WD: 0.00010000
[Epoch 10 | Batch 100 | Global Step 15210] Main LR: 0.00005128 | WD: 0.00010000
[Epoch 10 | Batch 200 | Global Step 15310] Main LR: 0.00005111 | WD: 0.00010000
[Epoch 10 | Batch 500 | Global Step 15610] Main LR: 0.00005062 | WD: 0.00010000
[Epoch 10 | Batch 1000 | Global Step 16110] Main LR: 0.00004983 | WD: 0.00010000
[Epoch 10 | Batch 1500 | Global Step 16610] Main LR: 0.00004907 | WD: 0.00010000
[Epoch 10 | Batch 1510 | Global Step 16620] Main LR: 0.00004906 | WD: 0.00010000
[Epoch 20 | Batch 0 | Global Step 30220] Main LR: 0.00003638 | WD: 0.00010000
[Epoch 20 | Batch 1 | Global Step 30221] Main LR: 0.00003638 | WD: 0.00010000
[Epoch 20 | Batch 2 | Global Step 30222] Main LR: 0.00003638 | WD: 0.00010000
[Epoch 20 | Batch 5 | Global Step 30225] Main LR: 0.00003638 | WD: 0.00010000
[Epoch 20 | Batch 10 | Global Step 30230] Main LR: 0.00003638 | WD: 0.00010000
[Epoch 20 | Batch 50 | Global Step 30270] Main LR: 0.00003635 | WD: 0.00010000
[Epoch 20 | Batch 70 | Global Step 30290] Main LR: 0.00003634 | WD: 0.00010000
[Epoch 20 | Batch 100 | Global Step 30320] Main LR: 0.00003632 | WD: 0.00010000
[Epoch 20 | Batch 200 | Global Step 30420] Main LR: 0.00003626 | WD: 0.00010000
[Epoch 20 | Batch 500 | Global Step 30720] Main LR: 0.00003608 | WD: 0.00010000
[Epoch 20 | Batch 1000 | Global Step 31220] Main LR: 0.00003579 | WD: 0.00010000
[Epoch 20 | Batch 1500 | Global Step 31720] Main LR: 0.00003551 | WD: 0.00010000
[Epoch 20 | Batch 1510 | Global Step 31730] Main LR: 0.00003551 | WD: 0.00010000
[Epoch 30 | Batch 0 | Global Step 45330] Main LR: 0.00002971 | WD: 0.00010000
[Epoch 30 | Batch 1 | Global Step 45331] Main LR: 0.00002971 | WD: 0.00010000
[Epoch 30 | Batch 2 | Global Step 45332] Main LR: 0.00002970 | WD: 0.00010000
[Epoch 30 | Batch 5 | Global Step 45335] Main LR: 0.00002970 | WD: 0.00010000
[Epoch 30 | Batch 10 | Global Step 45340] Main LR: 0.00002970 | WD: 0.00010000
[Epoch 30 | Batch 50 | Global Step 45380] Main LR: 0.00002969 | WD: 0.00010000
[Epoch 30 | Batch 70 | Global Step 45400] Main LR: 0.00002968 | WD: 0.00010000
[Epoch 30 | Batch 100 | Global Step 45430] Main LR: 0.00002967 | WD: 0.00010000
[Epoch 30 | Batch 200 | Global Step 45530] Main LR: 0.00002964 | WD: 0.00010000
[Epoch 30 | Batch 500 | Global Step 45830] Main LR: 0.00002954 | WD: 0.00010000
[Epoch 30 | Batch 1000 | Global Step 46330] Main LR: 0.00002938 | WD: 0.00010000
[Epoch 30 | Batch 1500 | Global Step 46830] Main LR: 0.00002923 | WD: 0.00010000
[Epoch 30 | Batch 1510 | Global Step 46840] Main LR: 0.00002922 | WD: 0.00010000
[Epoch 40 | Batch 0 | Global Step 60440] Main LR: 0.00002573 | WD: 0.00010000
[Epoch 40 | Batch 1 | Global Step 60441] Main LR: 0.00002573 | WD: 0.00010000
[Epoch 40 | Batch 2 | Global Step 60442] Main LR: 0.00002573 | WD: 0.00010000
[Epoch 40 | Batch 5 | Global Step 60445] Main LR: 0.00002572 | WD: 0.00010000
[Epoch 40 | Batch 10 | Global Step 60450] Main LR: 0.00002572 | WD: 0.00010000
[Epoch 40 | Batch 50 | Global Step 60490] Main LR: 0.00002572 | WD: 0.00010000
[Epoch 40 | Batch 70 | Global Step 60510] Main LR: 0.00002571 | WD: 0.00010000
[Epoch 40 | Batch 100 | Global Step 60540] Main LR: 0.00002570 | WD: 0.00010000
[Epoch 40 | Batch 200 | Global Step 60640] Main LR: 0.00002568 | WD: 0.00010000
[Epoch 40 | Batch 500 | Global Step 60940] Main LR: 0.00002562 | WD: 0.00010000
[Epoch 40 | Batch 1000 | Global Step 61440] Main LR: 0.00002552 | WD: 0.00010000
[Epoch 40 | Batch 1500 | Global Step 61940] Main LR: 0.00002541 | WD: 0.00010000
[Epoch 40 | Batch 1510 | Global Step 61950] Main LR: 0.00002541 | WD: 0.00010000
[Epoch 45 | Batch 0 | Global Step 67995] Main LR: 0.00002425 | WD: 0.00010000
[Epoch 45 | Batch 1 | Global Step 67996] Main LR: 0.00002425 | WD: 0.00010000
[Epoch 45 | Batch 2 | Global Step 67997] Main LR: 0.00002425 | WD: 0.00010000
[Epoch 45 | Batch 5 | Global Step 68000] Main LR: 0.00002425 | WD: 0.00010000
[Epoch 45 | Batch 10 | Global Step 68005] Main LR: 0.00002425 | WD: 0.00010000
[Epoch 45 | Batch 50 | Global Step 68045] Main LR: 0.00002425 | WD: 0.00010000
[Epoch 45 | Batch 70 | Global Step 68065] Main LR: 0.00002424 | WD: 0.00010000
[Epoch 45 | Batch 100 | Global Step 68095] Main LR: 0.00002424 | WD: 0.00010000
[Epoch 45 | Batch 200 | Global Step 68195] Main LR: 0.00002422 | WD: 0.00010000
[Epoch 45 | Batch 500 | Global Step 68495] Main LR: 0.00002417 | WD: 0.00010000
[Epoch 45 | Batch 1000 | Global Step 68995] Main LR: 0.00002408 | WD: 0.00010000
[Epoch 45 | Batch 1500 | Global Step 69495] Main LR: 0.00002399 | WD: 0.00010000
[Epoch 45 | Batch 1510 | Global Step 69505] Main LR: 0.00002399 | WD: 0.00010000
