Model: Baseline Fairseq Transformer

Epoch 0 | Train Loss: 7.366 | LR: 0.00003777
Epoch 1 | Train Loss: 6.114 | LR: 0.00007555
Epoch 2 | Train Loss: 5.389 | LR: 0.00009394
Epoch 3 | Train Loss: 4.803 | LR: 0.00008135
Epoch 4 | Train Loss: 4.427 | LR: 0.00007276
Epoch 5 | Train Loss: 4.171 | LR: 0.00006642
Epoch 6 | Train Loss: 3.975 | LR: 0.00006150
Epoch 7 | Train Loss: 3.828 | LR: 0.00005752
Epoch 8 | Train Loss: 3.712 | LR: 0.00005423
Epoch 9 | Train Loss: 3.622 | LR: 0.00005145
Epoch 10 | Train Loss: 3.544 | LR: 0.00004906
Epoch 11 | Train Loss: 3.481 | LR: 0.00004697
Epoch 12 | Train Loss: 3.426 | LR: 0.00004513
Epoch 13 | Train Loss: 3.378 | LR: 0.00004348
Epoch 14 | Train Loss: 3.337 | LR: 0.00004201
Epoch 15 | Train Loss: 3.301 | LR: 0.00004068
Epoch 16 | Train Loss: 3.269 | LR: 0.00003946
Epoch 17 | Train Loss: 3.241 | LR: 0.00003835
Epoch 18 | Train Loss: 3.216 | LR: 0.00003733
Epoch 19 | Train Loss: 3.191 | LR: 0.00003638
Epoch 20 | Train Loss: 3.170 | LR: 0.00003550
Epoch 21 | Train Loss: 3.150 | LR: 0.00003469
Epoch 22 | Train Loss: 3.131 | LR: 0.00003393
Epoch 23 | Train Loss: 3.113 | LR: 0.00003321
Epoch 24 | Train Loss: 3.098 | LR: 0.00003254
Epoch 25 | Train Loss: 3.083 | LR: 0.00003191
Epoch 26 | Train Loss: 3.070 | LR: 0.00003131
Epoch 27 | Train Loss: 3.057 | LR: 0.00003075
Epoch 28 | Train Loss: 3.044 | LR: 0.00003021
Epoch 29 | Train Loss: 3.032 | LR: 0.00002971
Epoch 30 | Train Loss: 3.021 | LR: 0.00002922
Epoch 31 | Train Loss: 3.010 | LR: 0.00002876
Epoch 32 | Train Loss: 3.001 | LR: 0.00002832
Epoch 33 | Train Loss: 2.992 | LR: 0.00002790
Epoch 34 | Train Loss: 2.980 | LR: 0.00002750
Epoch 35 | Train Loss: 2.971 | LR: 0.00002712
Epoch 36 | Train Loss: 2.963 | LR: 0.00002675
Epoch 37 | Train Loss: 2.956 | LR: 0.00002639
Epoch 38 | Train Loss: 2.948 | LR: 0.00002605
Epoch 39 | Train Loss: 2.940 | LR: 0.00002573
Epoch 40 | Train Loss: 2.933 | LR: 0.00002541
Epoch 41 | Train Loss: 2.926 | LR: 0.00002511
Epoch 42 | Train Loss: 2.918 | LR: 0.00002481
Epoch 43 | Train Loss: 2.913 | LR: 0.00002453
Epoch 44 | Train Loss: 2.908 | LR: 0.00002425
Epoch 45 | Train Loss: 2.899 | LR: 0.00002399
Epoch 46 | Train Loss: 2.893 | LR: 0.00002373
Epoch 47 | Train Loss: 2.889 | LR: 0.00002348
Epoch 48 | Train Loss: 2.883 | LR: 0.00002324
Epoch 49 | Train Loss: 2.877 | LR: 0.00002301
