Epoch 0 | Last Batch 1516 | M_Optimizer LR => 0.00003793 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.87 sec
Epoch 1 | Last Batch 1516 | M_Optimizer LR => 0.00007585 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.41 sec
Epoch 2 | Last Batch 1516 | M_Optimizer LR => 0.00009375 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.85 sec
Epoch 3 | Last Batch 1516 | M_Optimizer LR => 0.00008119 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.63 sec
Epoch 4 | Last Batch 1516 | M_Optimizer LR => 0.00007262 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.01 sec
Epoch 5 | Last Batch 1516 | M_Optimizer LR => 0.00006629 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.21 sec
Epoch 6 | Last Batch 1516 | M_Optimizer LR => 0.00006137 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.09 sec
Epoch 7 | Last Batch 1516 | M_Optimizer LR => 0.00005741 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 33.50 sec
Epoch 8 | Last Batch 1516 | M_Optimizer LR => 0.00005413 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 33.05 sec
Epoch 9 | Last Batch 1516 | M_Optimizer LR => 0.00005135 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.25 sec
Epoch 10 | Last Batch 1516 | M_Optimizer LR => 0.00004896 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 33.63 sec
Epoch 11 | Last Batch 1516 | M_Optimizer LR => 0.00004688 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 32.74 sec
Epoch 12 | Last Batch 1516 | M_Optimizer LR => 0.00004504 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 32.09 sec
Epoch 13 | Last Batch 1516 | M_Optimizer LR => 0.00004340 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.68 sec
Epoch 14 | Last Batch 1516 | M_Optimizer LR => 0.00004193 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.06 sec
