[Epoch 0 | Batch 0 | Global Step 0] Main LR: 0.00000003 | WD: 0.00010000
[Epoch 0 | Batch 1 | Global Step 1] Main LR: 0.00000003 | WD: 0.00010000
[Epoch 0 | Batch 2 | Global Step 2] Main LR: 0.00000005 | WD: 0.00010000
[Epoch 0 | Batch 5 | Global Step 5] Main LR: 0.00000013 | WD: 0.00010000
[Epoch 0 | Batch 10 | Global Step 10] Main LR: 0.00000025 | WD: 0.00010000
[Epoch 0 | Batch 50 | Global Step 50] Main LR: 0.00000125 | WD: 0.00010000
[Epoch 0 | Batch 70 | Global Step 70] Main LR: 0.00000175 | WD: 0.00010000
[Epoch 0 | Batch 100 | Global Step 100] Main LR: 0.00000250 | WD: 0.00010000
[Epoch 0 | Batch 200 | Global Step 200] Main LR: 0.00000500 | WD: 0.00010000
[Epoch 0 | Batch 500 | Global Step 500] Main LR: 0.00001250 | WD: 0.00010000
[Epoch 0 | Batch 1000 | Global Step 1000] Main LR: 0.00002500 | WD: 0.00010000
[Epoch 0 | Batch 1500 | Global Step 1500] Main LR: 0.00003750 | WD: 0.00010000
[Epoch 0 | Batch 1516 | Global Step 1516] Main LR: 0.00003790 | WD: 0.00010000
[Epoch 1 | Batch 0 | Global Step 1517] Main LR: 0.00003793 | WD: 0.00010000
[Epoch 1 | Batch 1 | Global Step 1518] Main LR: 0.00003795 | WD: 0.00010000
[Epoch 1 | Batch 2 | Global Step 1519] Main LR: 0.00003798 | WD: 0.00010000
[Epoch 1 | Batch 5 | Global Step 1522] Main LR: 0.00003805 | WD: 0.00010000
[Epoch 1 | Batch 10 | Global Step 1527] Main LR: 0.00003817 | WD: 0.00010000
[Epoch 1 | Batch 50 | Global Step 1567] Main LR: 0.00003918 | WD: 0.00010000
[Epoch 1 | Batch 70 | Global Step 1587] Main LR: 0.00003968 | WD: 0.00010000
[Epoch 1 | Batch 100 | Global Step 1617] Main LR: 0.00004043 | WD: 0.00010000
[Epoch 1 | Batch 200 | Global Step 1717] Main LR: 0.00004293 | WD: 0.00010000
[Epoch 1 | Batch 500 | Global Step 2017] Main LR: 0.00005042 | WD: 0.00010000
[Epoch 1 | Batch 1000 | Global Step 2517] Main LR: 0.00006292 | WD: 0.00010000
[Epoch 1 | Batch 1500 | Global Step 3017] Main LR: 0.00007543 | WD: 0.00010000
[Epoch 1 | Batch 1516 | Global Step 3033] Main LR: 0.00007582 | WD: 0.00010000
[Epoch 3 | Batch 0 | Global Step 4551] Main LR: 0.00009375 | WD: 0.00010000
[Epoch 3 | Batch 1 | Global Step 4552] Main LR: 0.00009374 | WD: 0.00010000
[Epoch 3 | Batch 2 | Global Step 4553] Main LR: 0.00009373 | WD: 0.00010000
[Epoch 3 | Batch 5 | Global Step 4556] Main LR: 0.00009370 | WD: 0.00010000
[Epoch 3 | Batch 10 | Global Step 4561] Main LR: 0.00009365 | WD: 0.00010000
[Epoch 3 | Batch 50 | Global Step 4601] Main LR: 0.00009324 | WD: 0.00010000
[Epoch 3 | Batch 70 | Global Step 4621] Main LR: 0.00009304 | WD: 0.00010000
[Epoch 3 | Batch 100 | Global Step 4651] Main LR: 0.00009274 | WD: 0.00010000
[Epoch 3 | Batch 200 | Global Step 4751] Main LR: 0.00009176 | WD: 0.00010000
[Epoch 3 | Batch 500 | Global Step 5051] Main LR: 0.00008899 | WD: 0.00010000
[Epoch 3 | Batch 1000 | Global Step 5551] Main LR: 0.00008489 | WD: 0.00010000
[Epoch 3 | Batch 1500 | Global Step 6051] Main LR: 0.00008130 | WD: 0.00010000
[Epoch 3 | Batch 1516 | Global Step 6067] Main LR: 0.00008120 | WD: 0.00010000
[Epoch 5 | Batch 0 | Global Step 7585] Main LR: 0.00007262 | WD: 0.00010000
[Epoch 5 | Batch 1 | Global Step 7586] Main LR: 0.00007261 | WD: 0.00010000
[Epoch 5 | Batch 2 | Global Step 7587] Main LR: 0.00007261 | WD: 0.00010000
[Epoch 5 | Batch 5 | Global Step 7590] Main LR: 0.00007260 | WD: 0.00010000
[Epoch 5 | Batch 10 | Global Step 7595] Main LR: 0.00007257 | WD: 0.00010000
[Epoch 5 | Batch 50 | Global Step 7635] Main LR: 0.00007238 | WD: 0.00010000
[Epoch 5 | Batch 70 | Global Step 7655] Main LR: 0.00007229 | WD: 0.00010000
[Epoch 5 | Batch 100 | Global Step 7685] Main LR: 0.00007215 | WD: 0.00010000
[Epoch 5 | Batch 200 | Global Step 7785] Main LR: 0.00007168 | WD: 0.00010000
[Epoch 5 | Batch 500 | Global Step 8085] Main LR: 0.00007034 | WD: 0.00010000
[Epoch 5 | Batch 1000 | Global Step 8585] Main LR: 0.00006826 | WD: 0.00010000
[Epoch 5 | Batch 1500 | Global Step 9085] Main LR: 0.00006635 | WD: 0.00010000
[Epoch 5 | Batch 1516 | Global Step 9101] Main LR: 0.00006630 | WD: 0.00010000
[Epoch 10 | Batch 0 | Global Step 15170] Main LR: 0.00005135 | WD: 0.00010000
[Epoch 10 | Batch 1 | Global Step 15171] Main LR: 0.00005135 | WD: 0.00010000
[Epoch 10 | Batch 2 | Global Step 15172] Main LR: 0.00005135 | WD: 0.00010000
[Epoch 10 | Batch 5 | Global Step 15175] Main LR: 0.00005134 | WD: 0.00010000
[Epoch 10 | Batch 10 | Global Step 15180] Main LR: 0.00005133 | WD: 0.00010000
[Epoch 10 | Batch 50 | Global Step 15220] Main LR: 0.00005127 | WD: 0.00010000
[Epoch 10 | Batch 70 | Global Step 15240] Main LR: 0.00005123 | WD: 0.00010000
[Epoch 10 | Batch 100 | Global Step 15270] Main LR: 0.00005118 | WD: 0.00010000
[Epoch 10 | Batch 200 | Global Step 15370] Main LR: 0.00005101 | WD: 0.00010000
[Epoch 10 | Batch 500 | Global Step 15670] Main LR: 0.00005052 | WD: 0.00010000
[Epoch 10 | Batch 1000 | Global Step 16170] Main LR: 0.00004974 | WD: 0.00010000
[Epoch 10 | Batch 1500 | Global Step 16670] Main LR: 0.00004898 | WD: 0.00010000
[Epoch 10 | Batch 1516 | Global Step 16686] Main LR: 0.00004896 | WD: 0.00010000
[Epoch 20 | Batch 0 | Global Step 30340] Main LR: 0.00003631 | WD: 0.00010000
[Epoch 20 | Batch 1 | Global Step 30341] Main LR: 0.00003631 | WD: 0.00010000
[Epoch 20 | Batch 2 | Global Step 30342] Main LR: 0.00003631 | WD: 0.00010000
[Epoch 20 | Batch 5 | Global Step 30345] Main LR: 0.00003631 | WD: 0.00010000
[Epoch 20 | Batch 10 | Global Step 30350] Main LR: 0.00003630 | WD: 0.00010000
[Epoch 20 | Batch 50 | Global Step 30390] Main LR: 0.00003628 | WD: 0.00010000
[Epoch 20 | Batch 70 | Global Step 30410] Main LR: 0.00003627 | WD: 0.00010000
[Epoch 20 | Batch 100 | Global Step 30440] Main LR: 0.00003625 | WD: 0.00010000
[Epoch 20 | Batch 200 | Global Step 30540] Main LR: 0.00003619 | WD: 0.00010000
[Epoch 20 | Batch 500 | Global Step 30840] Main LR: 0.00003601 | WD: 0.00010000
[Epoch 20 | Batch 1000 | Global Step 31340] Main LR: 0.00003573 | WD: 0.00010000
[Epoch 20 | Batch 1500 | Global Step 31840] Main LR: 0.00003544 | WD: 0.00010000
[Epoch 20 | Batch 1516 | Global Step 31856] Main LR: 0.00003544 | WD: 0.00010000
[Epoch 30 | Batch 0 | Global Step 45510] Main LR: 0.00002965 | WD: 0.00010000
[Epoch 30 | Batch 1 | Global Step 45511] Main LR: 0.00002965 | WD: 0.00010000
[Epoch 30 | Batch 2 | Global Step 45512] Main LR: 0.00002965 | WD: 0.00010000
[Epoch 30 | Batch 5 | Global Step 45515] Main LR: 0.00002965 | WD: 0.00010000
[Epoch 30 | Batch 10 | Global Step 45520] Main LR: 0.00002964 | WD: 0.00010000
[Epoch 30 | Batch 50 | Global Step 45560] Main LR: 0.00002963 | WD: 0.00010000
[Epoch 30 | Batch 70 | Global Step 45580] Main LR: 0.00002962 | WD: 0.00010000
[Epoch 30 | Batch 100 | Global Step 45610] Main LR: 0.00002961 | WD: 0.00010000
[Epoch 30 | Batch 200 | Global Step 45710] Main LR: 0.00002958 | WD: 0.00010000
[Epoch 30 | Batch 500 | Global Step 46010] Main LR: 0.00002949 | WD: 0.00010000
[Epoch 30 | Batch 1000 | Global Step 46510] Main LR: 0.00002933 | WD: 0.00010000
[Epoch 30 | Batch 1500 | Global Step 47010] Main LR: 0.00002917 | WD: 0.00010000
[Epoch 30 | Batch 1516 | Global Step 47026] Main LR: 0.00002916 | WD: 0.00010000
[Epoch 40 | Batch 0 | Global Step 60680] Main LR: 0.00002567 | WD: 0.00010000
[Epoch 40 | Batch 1 | Global Step 60681] Main LR: 0.00002567 | WD: 0.00010000
[Epoch 40 | Batch 2 | Global Step 60682] Main LR: 0.00002567 | WD: 0.00010000
[Epoch 40 | Batch 5 | Global Step 60685] Main LR: 0.00002567 | WD: 0.00010000
[Epoch 40 | Batch 10 | Global Step 60690] Main LR: 0.00002567 | WD: 0.00010000
[Epoch 40 | Batch 50 | Global Step 60730] Main LR: 0.00002566 | WD: 0.00010000
[Epoch 40 | Batch 70 | Global Step 60750] Main LR: 0.00002566 | WD: 0.00010000
[Epoch 40 | Batch 100 | Global Step 60780] Main LR: 0.00002565 | WD: 0.00010000
[Epoch 40 | Batch 200 | Global Step 60880] Main LR: 0.00002563 | WD: 0.00010000
[Epoch 40 | Batch 500 | Global Step 61180] Main LR: 0.00002557 | WD: 0.00010000
[Epoch 40 | Batch 1000 | Global Step 61680] Main LR: 0.00002547 | WD: 0.00010000
[Epoch 40 | Batch 1500 | Global Step 62180] Main LR: 0.00002536 | WD: 0.00010000
[Epoch 40 | Batch 1516 | Global Step 62196] Main LR: 0.00002536 | WD: 0.00010000
[Epoch 45 | Batch 0 | Global Step 68265] Main LR: 0.00002421 | WD: 0.00010000
[Epoch 45 | Batch 1 | Global Step 68266] Main LR: 0.00002421 | WD: 0.00010000
[Epoch 45 | Batch 2 | Global Step 68267] Main LR: 0.00002421 | WD: 0.00010000
[Epoch 45 | Batch 5 | Global Step 68270] Main LR: 0.00002421 | WD: 0.00010000
[Epoch 45 | Batch 10 | Global Step 68275] Main LR: 0.00002420 | WD: 0.00010000
[Epoch 45 | Batch 50 | Global Step 68315] Main LR: 0.00002420 | WD: 0.00010000
[Epoch 45 | Batch 70 | Global Step 68335] Main LR: 0.00002419 | WD: 0.00010000
[Epoch 45 | Batch 100 | Global Step 68365] Main LR: 0.00002419 | WD: 0.00010000
[Epoch 45 | Batch 200 | Global Step 68465] Main LR: 0.00002417 | WD: 0.00010000
[Epoch 45 | Batch 500 | Global Step 68765] Main LR: 0.00002412 | WD: 0.00010000
[Epoch 45 | Batch 1000 | Global Step 69265] Main LR: 0.00002403 | WD: 0.00010000
[Epoch 45 | Batch 1500 | Global Step 69765] Main LR: 0.00002394 | WD: 0.00010000
[Epoch 45 | Batch 1516 | Global Step 69781] Main LR: 0.00002394 | WD: 0.00010000
