Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn

Checkpoint epoch_0_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 6.252 | sacreBLEU: 0.76 | Beam=5
Checkpoint epoch_1_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 5.391 | sacreBLEU: 1.80 | Beam=5
Checkpoint epoch_2_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.726 | sacreBLEU: 5.08 | Beam=5
Checkpoint epoch_3_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.315 | sacreBLEU: 9.09 | Beam=5
Checkpoint epoch_4_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.054 | sacreBLEU: 12.28 | Beam=5
Checkpoint epoch_5_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.931 | sacreBLEU: 13.65 | Beam=5
Checkpoint epoch_6_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.768 | sacreBLEU: 15.07 | Beam=5
Checkpoint epoch_7_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.706 | sacreBLEU: 16.54 | Beam=5
Checkpoint epoch_8_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.614 | sacreBLEU: 18.12 | Beam=5
Checkpoint epoch_9_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.523 | sacreBLEU: 20.00 | Beam=5
