Model: Baseline Fairseq Transformer

Checkpoint epoch_0_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 6.268 | sacreBLEU: 0.65 | Beam=5
Checkpoint epoch_1_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 5.396 | sacreBLEU: 1.75 | Beam=5
Checkpoint epoch_2_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 4.727 | sacreBLEU: 5.35 | Beam=5
Checkpoint epoch_3_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 4.314 | sacreBLEU: 9.24 | Beam=5
Checkpoint epoch_4_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 4.064 | sacreBLEU: 11.96 | Beam=5
Checkpoint epoch_5_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.919 | sacreBLEU: 13.61 | Beam=5
Checkpoint epoch_6_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.770 | sacreBLEU: 15.32 | Beam=5
Checkpoint epoch_7_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.703 | sacreBLEU: 16.48 | Beam=5
Checkpoint epoch_8_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.623 | sacreBLEU: 17.65 | Beam=5
Checkpoint epoch_9_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.524 | sacreBLEU: 20.58 | Beam=5
Checkpoint epoch_10_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.488 | sacreBLEU: 20.89 | Beam=5
Checkpoint epoch_11_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.442 | sacreBLEU: 20.93 | Beam=5
Checkpoint epoch_12_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.425 | sacreBLEU: 22.24 | Beam=5
Checkpoint epoch_13_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.404 | sacreBLEU: 22.20 | Beam=5
Checkpoint epoch_14_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.373 | sacreBLEU: 22.10 | Beam=5
Checkpoint epoch_15_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.333 | sacreBLEU: 23.97 | Beam=5
Checkpoint epoch_16_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.332 | sacreBLEU: 22.85 | Beam=5
Checkpoint epoch_17_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.292 | sacreBLEU: 24.03 | Beam=5
Checkpoint epoch_18_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.283 | sacreBLEU: 24.64 | Beam=5
Checkpoint epoch_19_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.288 | sacreBLEU: 23.79 | Beam=5
