Epoch 0 | Train Loss: 7.308 | LR: 0.00003927
Epoch 1 | Train Loss: 5.984 | LR: 0.00007855
Epoch 2 | Train Loss: 5.255 | LR: 0.00009213
Epoch 3 | Train Loss: 4.652 | LR: 0.00007978
Epoch 4 | Train Loss: 4.285 | LR: 0.00007136
Epoch 5 | Train Loss: 4.041 | LR: 0.00006514
Epoch 6 | Train Loss: 3.875 | LR: 0.00006031
Epoch 7 | Train Loss: 3.744 | LR: 0.00005642
Epoch 8 | Train Loss: 3.639 | LR: 0.00005319
Epoch 9 | Train Loss: 3.554 | LR: 0.00005046
Epoch 10 | Train Loss: 3.485 | LR: 0.00004811
Epoch 11 | Train Loss: 3.426 | LR: 0.00004606
Epoch 12 | Train Loss: 3.377 | LR: 0.00004426
Epoch 13 | Train Loss: 3.333 | LR: 0.00004265
Epoch 14 | Train Loss: 3.298 | LR: 0.00004120
Epoch 15 | Train Loss: 3.261 | LR: 0.00003989
Epoch 16 | Train Loss: 3.230 | LR: 0.00003870
Epoch 17 | Train Loss: 3.204 | LR: 0.00003761
Epoch 18 | Train Loss: 3.178 | LR: 0.00003661
Epoch 19 | Train Loss: 3.154 | LR: 0.00003568
Epoch 20 | Train Loss: 3.134 | LR: 0.00003482
Epoch 21 | Train Loss: 3.114 | LR: 0.00003402
Epoch 22 | Train Loss: 3.096 | LR: 0.00003327
Epoch 23 | Train Loss: 3.080 | LR: 0.00003257
Epoch 24 | Train Loss: 3.065 | LR: 0.00003191
Epoch 25 | Train Loss: 3.050 | LR: 0.00003129
Epoch 26 | Train Loss: 3.036 | LR: 0.00003071
Epoch 27 | Train Loss: 3.026 | LR: 0.00003016
Epoch 28 | Train Loss: 3.013 | LR: 0.00002963
Epoch 29 | Train Loss: 3.002 | LR: 0.00002913
Epoch 30 | Train Loss: 2.992 | LR: 0.00002866
Epoch 31 | Train Loss: 2.982 | LR: 0.00002821
Epoch 32 | Train Loss: 2.975 | LR: 0.00002778
Epoch 33 | Train Loss: 2.965 | LR: 0.00002737
Epoch 34 | Train Loss: 2.957 | LR: 0.00002697
Epoch 35 | Train Loss: 2.948 | LR: 0.00002659
Epoch 36 | Train Loss: 2.940 | LR: 0.00002623
Epoch 37 | Train Loss: 2.933 | LR: 0.00002589
Epoch 38 | Train Loss: 2.926 | LR: 0.00002555
Epoch 39 | Train Loss: 2.920 | LR: 0.00002523
Epoch 40 | Train Loss: 2.913 | LR: 0.00002492
Epoch 41 | Train Loss: 2.908 | LR: 0.00002462
Epoch 42 | Train Loss: 2.901 | LR: 0.00002433
Epoch 43 | Train Loss: 2.895 | LR: 0.00002406
Epoch 44 | Train Loss: 2.890 | LR: 0.00002379
Epoch 45 | Train Loss: 2.884 | LR: 0.00002353
Epoch 46 | Train Loss: 2.879 | LR: 0.00002328
Epoch 47 | Train Loss: 2.875 | LR: 0.00002303
Epoch 48 | Train Loss: 2.870 | LR: 0.00002280
Epoch 49 | Train Loss: 2.866 | LR: 0.00002257
