[Epoch 0 | Batch 0 | Global Step 0] Main LR: 0.00000003 | WD: 0.00010000
[Epoch 0 | Batch 1 | Global Step 1] Main LR: 0.00000003 | WD: 0.00010000
[Epoch 0 | Batch 2 | Global Step 2] Main LR: 0.00000005 | WD: 0.00010000
[Epoch 0 | Batch 5 | Global Step 5] Main LR: 0.00000013 | WD: 0.00010000
[Epoch 0 | Batch 10 | Global Step 10] Main LR: 0.00000025 | WD: 0.00010000
[Epoch 0 | Batch 50 | Global Step 50] Main LR: 0.00000125 | WD: 0.00010000
[Epoch 0 | Batch 70 | Global Step 70] Main LR: 0.00000175 | WD: 0.00010000
[Epoch 0 | Batch 100 | Global Step 100] Main LR: 0.00000250 | WD: 0.00010000
[Epoch 0 | Batch 200 | Global Step 200] Main LR: 0.00000500 | WD: 0.00010000
[Epoch 0 | Batch 500 | Global Step 500] Main LR: 0.00001250 | WD: 0.00010000
[Epoch 0 | Batch 1000 | Global Step 1000] Main LR: 0.00002500 | WD: 0.00010000
[Epoch 0 | Batch 1500 | Global Step 1500] Main LR: 0.00003750 | WD: 0.00010000
[Epoch 0 | Batch 1570 | Global Step 1570] Main LR: 0.00003925 | WD: 0.00010000
[Epoch 1 | Batch 0 | Global Step 1571] Main LR: 0.00003927 | WD: 0.00010000
[Epoch 1 | Batch 1 | Global Step 1572] Main LR: 0.00003930 | WD: 0.00010000
[Epoch 1 | Batch 2 | Global Step 1573] Main LR: 0.00003933 | WD: 0.00010000
[Epoch 1 | Batch 5 | Global Step 1576] Main LR: 0.00003940 | WD: 0.00010000
[Epoch 1 | Batch 10 | Global Step 1581] Main LR: 0.00003952 | WD: 0.00010000
[Epoch 1 | Batch 50 | Global Step 1621] Main LR: 0.00004053 | WD: 0.00010000
[Epoch 1 | Batch 70 | Global Step 1641] Main LR: 0.00004103 | WD: 0.00010000
[Epoch 1 | Batch 100 | Global Step 1671] Main LR: 0.00004178 | WD: 0.00010000
[Epoch 1 | Batch 200 | Global Step 1771] Main LR: 0.00004427 | WD: 0.00010000
[Epoch 1 | Batch 500 | Global Step 2071] Main LR: 0.00005178 | WD: 0.00010000
[Epoch 1 | Batch 1000 | Global Step 2571] Main LR: 0.00006428 | WD: 0.00010000
[Epoch 1 | Batch 1500 | Global Step 3071] Main LR: 0.00007678 | WD: 0.00010000
[Epoch 1 | Batch 1570 | Global Step 3141] Main LR: 0.00007852 | WD: 0.00010000
[Epoch 3 | Batch 0 | Global Step 4713] Main LR: 0.00009213 | WD: 0.00010000
[Epoch 3 | Batch 1 | Global Step 4714] Main LR: 0.00009212 | WD: 0.00010000
[Epoch 3 | Batch 2 | Global Step 4715] Main LR: 0.00009211 | WD: 0.00010000
[Epoch 3 | Batch 5 | Global Step 4718] Main LR: 0.00009208 | WD: 0.00010000
[Epoch 3 | Batch 10 | Global Step 4723] Main LR: 0.00009203 | WD: 0.00010000
[Epoch 3 | Batch 50 | Global Step 4763] Main LR: 0.00009164 | WD: 0.00010000
[Epoch 3 | Batch 70 | Global Step 4783] Main LR: 0.00009145 | WD: 0.00010000
[Epoch 3 | Batch 100 | Global Step 4813] Main LR: 0.00009116 | WD: 0.00010000
[Epoch 3 | Batch 200 | Global Step 4913] Main LR: 0.00009023 | WD: 0.00010000
[Epoch 3 | Batch 500 | Global Step 5213] Main LR: 0.00008760 | WD: 0.00010000
[Epoch 3 | Batch 1000 | Global Step 5713] Main LR: 0.00008368 | WD: 0.00010000
[Epoch 3 | Batch 1500 | Global Step 6213] Main LR: 0.00008024 | WD: 0.00010000
[Epoch 3 | Batch 1570 | Global Step 6283] Main LR: 0.00007979 | WD: 0.00010000
[Epoch 5 | Batch 0 | Global Step 7855] Main LR: 0.00007136 | WD: 0.00010000
[Epoch 5 | Batch 1 | Global Step 7856] Main LR: 0.00007136 | WD: 0.00010000
[Epoch 5 | Batch 2 | Global Step 7857] Main LR: 0.00007135 | WD: 0.00010000
[Epoch 5 | Batch 5 | Global Step 7860] Main LR: 0.00007134 | WD: 0.00010000
[Epoch 5 | Batch 10 | Global Step 7865] Main LR: 0.00007131 | WD: 0.00010000
[Epoch 5 | Batch 50 | Global Step 7905] Main LR: 0.00007113 | WD: 0.00010000
[Epoch 5 | Batch 70 | Global Step 7925] Main LR: 0.00007104 | WD: 0.00010000
[Epoch 5 | Batch 100 | Global Step 7955] Main LR: 0.00007091 | WD: 0.00010000
[Epoch 5 | Batch 200 | Global Step 8055] Main LR: 0.00007047 | WD: 0.00010000
[Epoch 5 | Batch 500 | Global Step 8355] Main LR: 0.00006919 | WD: 0.00010000
[Epoch 5 | Batch 1000 | Global Step 8855] Main LR: 0.00006721 | WD: 0.00010000
[Epoch 5 | Batch 1500 | Global Step 9355] Main LR: 0.00006539 | WD: 0.00010000
[Epoch 5 | Batch 1570 | Global Step 9425] Main LR: 0.00006515 | WD: 0.00010000
[Epoch 10 | Batch 0 | Global Step 15710] Main LR: 0.00005046 | WD: 0.00010000
[Epoch 10 | Batch 1 | Global Step 15711] Main LR: 0.00005046 | WD: 0.00010000
[Epoch 10 | Batch 2 | Global Step 15712] Main LR: 0.00005046 | WD: 0.00010000
[Epoch 10 | Batch 5 | Global Step 15715] Main LR: 0.00005045 | WD: 0.00010000
[Epoch 10 | Batch 10 | Global Step 15720] Main LR: 0.00005044 | WD: 0.00010000
[Epoch 10 | Batch 50 | Global Step 15760] Main LR: 0.00005038 | WD: 0.00010000
[Epoch 10 | Batch 70 | Global Step 15780] Main LR: 0.00005035 | WD: 0.00010000
[Epoch 10 | Batch 100 | Global Step 15810] Main LR: 0.00005030 | WD: 0.00010000
[Epoch 10 | Batch 200 | Global Step 15910] Main LR: 0.00005014 | WD: 0.00010000
[Epoch 10 | Batch 500 | Global Step 16210] Main LR: 0.00004968 | WD: 0.00010000
[Epoch 10 | Batch 1000 | Global Step 16710] Main LR: 0.00004893 | WD: 0.00010000
[Epoch 10 | Batch 1500 | Global Step 17210] Main LR: 0.00004821 | WD: 0.00010000
[Epoch 10 | Batch 1570 | Global Step 17280] Main LR: 0.00004811 | WD: 0.00010000
[Epoch 20 | Batch 0 | Global Step 31420] Main LR: 0.00003568 | WD: 0.00010000
[Epoch 20 | Batch 1 | Global Step 31421] Main LR: 0.00003568 | WD: 0.00010000
[Epoch 20 | Batch 2 | Global Step 31422] Main LR: 0.00003568 | WD: 0.00010000
[Epoch 20 | Batch 5 | Global Step 31425] Main LR: 0.00003568 | WD: 0.00010000
[Epoch 20 | Batch 10 | Global Step 31430] Main LR: 0.00003567 | WD: 0.00010000
[Epoch 20 | Batch 50 | Global Step 31470] Main LR: 0.00003565 | WD: 0.00010000
[Epoch 20 | Batch 70 | Global Step 31490] Main LR: 0.00003564 | WD: 0.00010000
[Epoch 20 | Batch 100 | Global Step 31520] Main LR: 0.00003562 | WD: 0.00010000
[Epoch 20 | Batch 200 | Global Step 31620] Main LR: 0.00003557 | WD: 0.00010000
[Epoch 20 | Batch 500 | Global Step 31920] Main LR: 0.00003540 | WD: 0.00010000
[Epoch 20 | Batch 1000 | Global Step 32420] Main LR: 0.00003513 | WD: 0.00010000
[Epoch 20 | Batch 1500 | Global Step 32920] Main LR: 0.00003486 | WD: 0.00010000
[Epoch 20 | Batch 1570 | Global Step 32990] Main LR: 0.00003482 | WD: 0.00010000
[Epoch 30 | Batch 0 | Global Step 47130] Main LR: 0.00002913 | WD: 0.00010000
[Epoch 30 | Batch 1 | Global Step 47131] Main LR: 0.00002913 | WD: 0.00010000
[Epoch 30 | Batch 2 | Global Step 47132] Main LR: 0.00002913 | WD: 0.00010000
[Epoch 30 | Batch 5 | Global Step 47135] Main LR: 0.00002913 | WD: 0.00010000
[Epoch 30 | Batch 10 | Global Step 47140] Main LR: 0.00002913 | WD: 0.00010000
[Epoch 30 | Batch 50 | Global Step 47180] Main LR: 0.00002912 | WD: 0.00010000
[Epoch 30 | Batch 70 | Global Step 47200] Main LR: 0.00002911 | WD: 0.00010000
[Epoch 30 | Batch 100 | Global Step 47230] Main LR: 0.00002910 | WD: 0.00010000
[Epoch 30 | Batch 200 | Global Step 47330] Main LR: 0.00002907 | WD: 0.00010000
[Epoch 30 | Batch 500 | Global Step 47630] Main LR: 0.00002898 | WD: 0.00010000
[Epoch 30 | Batch 1000 | Global Step 48130] Main LR: 0.00002883 | WD: 0.00010000
[Epoch 30 | Batch 1500 | Global Step 48630] Main LR: 0.00002868 | WD: 0.00010000
[Epoch 30 | Batch 1570 | Global Step 48700] Main LR: 0.00002866 | WD: 0.00010000
[Epoch 40 | Batch 0 | Global Step 62840] Main LR: 0.00002523 | WD: 0.00010000
[Epoch 40 | Batch 1 | Global Step 62841] Main LR: 0.00002523 | WD: 0.00010000
[Epoch 40 | Batch 2 | Global Step 62842] Main LR: 0.00002523 | WD: 0.00010000
[Epoch 40 | Batch 5 | Global Step 62845] Main LR: 0.00002523 | WD: 0.00010000
[Epoch 40 | Batch 10 | Global Step 62850] Main LR: 0.00002523 | WD: 0.00010000
[Epoch 40 | Batch 50 | Global Step 62890] Main LR: 0.00002522 | WD: 0.00010000
[Epoch 40 | Batch 70 | Global Step 62910] Main LR: 0.00002522 | WD: 0.00010000
[Epoch 40 | Batch 100 | Global Step 62940] Main LR: 0.00002521 | WD: 0.00010000
[Epoch 40 | Batch 200 | Global Step 63040] Main LR: 0.00002519 | WD: 0.00010000
[Epoch 40 | Batch 500 | Global Step 63340] Main LR: 0.00002513 | WD: 0.00010000
[Epoch 40 | Batch 1000 | Global Step 63840] Main LR: 0.00002503 | WD: 0.00010000
[Epoch 40 | Batch 1500 | Global Step 64340] Main LR: 0.00002493 | WD: 0.00010000
[Epoch 40 | Batch 1570 | Global Step 64410] Main LR: 0.00002492 | WD: 0.00010000
[Epoch 45 | Batch 0 | Global Step 70695] Main LR: 0.00002379 | WD: 0.00010000
[Epoch 45 | Batch 1 | Global Step 70696] Main LR: 0.00002379 | WD: 0.00010000
[Epoch 45 | Batch 2 | Global Step 70697] Main LR: 0.00002379 | WD: 0.00010000
[Epoch 45 | Batch 5 | Global Step 70700] Main LR: 0.00002379 | WD: 0.00010000
[Epoch 45 | Batch 10 | Global Step 70705] Main LR: 0.00002379 | WD: 0.00010000
[Epoch 45 | Batch 50 | Global Step 70745] Main LR: 0.00002378 | WD: 0.00010000
[Epoch 45 | Batch 70 | Global Step 70765] Main LR: 0.00002378 | WD: 0.00010000
[Epoch 45 | Batch 100 | Global Step 70795] Main LR: 0.00002377 | WD: 0.00010000
[Epoch 45 | Batch 200 | Global Step 70895] Main LR: 0.00002375 | WD: 0.00010000
[Epoch 45 | Batch 500 | Global Step 71195] Main LR: 0.00002370 | WD: 0.00010000
[Epoch 45 | Batch 1000 | Global Step 71695] Main LR: 0.00002362 | WD: 0.00010000
[Epoch 45 | Batch 1500 | Global Step 72195] Main LR: 0.00002354 | WD: 0.00010000
[Epoch 45 | Batch 1570 | Global Step 72265] Main LR: 0.00002353 | WD: 0.00010000
