Model: Baseline Fairseq Transformer

Epoch 0 | Train Loss: 6.802 | LR: 0.00003927
Epoch 1 | Train Loss: 5.576 | LR: 0.00007855
Epoch 2 | Train Loss: 4.978 | LR: 0.00009213
Epoch 3 | Train Loss: 4.432 | LR: 0.00007978
Epoch 4 | Train Loss: 4.103 | LR: 0.00007136
Epoch 5 | Train Loss: 3.883 | LR: 0.00006514
Epoch 6 | Train Loss: 3.721 | LR: 0.00006031
Epoch 7 | Train Loss: 3.598 | LR: 0.00005642
Epoch 8 | Train Loss: 3.501 | LR: 0.00005319
Epoch 9 | Train Loss: 3.425 | LR: 0.00005046
Epoch 10 | Train Loss: 3.362 | LR: 0.00004811
Epoch 11 | Train Loss: 3.305 | LR: 0.00004606
Epoch 12 | Train Loss: 3.261 | LR: 0.00004426
Epoch 13 | Train Loss: 3.224 | LR: 0.00004265
Epoch 14 | Train Loss: 3.191 | LR: 0.00004120
Epoch 15 | Train Loss: 3.159 | LR: 0.00003989
Epoch 16 | Train Loss: 3.133 | LR: 0.00003870
Epoch 17 | Train Loss: 3.113 | LR: 0.00003761
Epoch 18 | Train Loss: 3.091 | LR: 0.00003661
Epoch 19 | Train Loss: 3.069 | LR: 0.00003568
Epoch 20 | Train Loss: 3.053 | LR: 0.00003482
Epoch 21 | Train Loss: 3.037 | LR: 0.00003402
Epoch 22 | Train Loss: 3.020 | LR: 0.00003327
Epoch 23 | Train Loss: 3.005 | LR: 0.00003257
Epoch 24 | Train Loss: 2.995 | LR: 0.00003191
Epoch 25 | Train Loss: 2.982 | LR: 0.00003129
Epoch 26 | Train Loss: 2.970 | LR: 0.00003071
Epoch 27 | Train Loss: 2.958 | LR: 0.00003016
Epoch 28 | Train Loss: 2.946 | LR: 0.00002963
Epoch 29 | Train Loss: 2.936 | LR: 0.00002913
Epoch 30 | Train Loss: 2.927 | LR: 0.00002866
Epoch 31 | Train Loss: 2.917 | LR: 0.00002821
Epoch 32 | Train Loss: 2.910 | LR: 0.00002778
Epoch 33 | Train Loss: 2.901 | LR: 0.00002737
Epoch 34 | Train Loss: 2.893 | LR: 0.00002697
Epoch 35 | Train Loss: 2.885 | LR: 0.00002659
Epoch 36 | Train Loss: 2.879 | LR: 0.00002623
Epoch 37 | Train Loss: 2.872 | LR: 0.00002589
Epoch 38 | Train Loss: 2.865 | LR: 0.00002555
Epoch 39 | Train Loss: 2.859 | LR: 0.00002523
Epoch 40 | Train Loss: 2.853 | LR: 0.00002492
Epoch 41 | Train Loss: 2.848 | LR: 0.00002462
Epoch 42 | Train Loss: 2.842 | LR: 0.00002433
Epoch 43 | Train Loss: 2.837 | LR: 0.00002406
Epoch 44 | Train Loss: 2.831 | LR: 0.00002379
Epoch 45 | Train Loss: 2.828 | LR: 0.00002353
Epoch 46 | Train Loss: 2.822 | LR: 0.00002328
Epoch 47 | Train Loss: 2.819 | LR: 0.00002303
Epoch 48 | Train Loss: 2.815 | LR: 0.00002280
Epoch 49 | Train Loss: 2.810 | LR: 0.00002257
