Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn

Epoch 0 | Train Loss: 6.831 | LR: 0.00003927
Epoch 1 | Train Loss: 5.581 | LR: 0.00007855
Epoch 2 | Train Loss: 4.991 | LR: 0.00009213
Epoch 3 | Train Loss: 4.444 | LR: 0.00007978
Epoch 4 | Train Loss: 4.112 | LR: 0.00007136
Epoch 5 | Train Loss: 3.889 | LR: 0.00006514
Epoch 6 | Train Loss: 3.726 | LR: 0.00006031
Epoch 7 | Train Loss: 3.597 | LR: 0.00005642
Epoch 8 | Train Loss: 3.497 | LR: 0.00005319
Epoch 9 | Train Loss: 3.416 | LR: 0.00005046
Epoch 10 | Train Loss: 3.351 | LR: 0.00004811
Epoch 11 | Train Loss: 3.293 | LR: 0.00004606
Epoch 12 | Train Loss: 3.248 | LR: 0.00004426
Epoch 13 | Train Loss: 3.208 | LR: 0.00004265
Epoch 14 | Train Loss: 3.173 | LR: 0.00004120
Epoch 15 | Train Loss: 3.139 | LR: 0.00003989
Epoch 16 | Train Loss: 3.112 | LR: 0.00003870
Epoch 17 | Train Loss: 3.087 | LR: 0.00003761
Epoch 18 | Train Loss: 3.064 | LR: 0.00003661
Epoch 19 | Train Loss: 3.039 | LR: 0.00003568
Epoch 20 | Train Loss: 3.021 | LR: 0.00003482
Epoch 21 | Train Loss: 3.002 | LR: 0.00003402
Epoch 22 | Train Loss: 2.985 | LR: 0.00003327
Epoch 23 | Train Loss: 2.967 | LR: 0.00003257
Epoch 24 | Train Loss: 2.956 | LR: 0.00003191
Epoch 25 | Train Loss: 2.942 | LR: 0.00003129
Epoch 26 | Train Loss: 2.929 | LR: 0.00003071
Epoch 27 | Train Loss: 2.918 | LR: 0.00003016
Epoch 28 | Train Loss: 2.906 | LR: 0.00002963
Epoch 29 | Train Loss: 2.895 | LR: 0.00002913
Epoch 30 | Train Loss: 2.885 | LR: 0.00002866
Epoch 31 | Train Loss: 2.876 | LR: 0.00002821
Epoch 32 | Train Loss: 2.869 | LR: 0.00002778
Epoch 33 | Train Loss: 2.860 | LR: 0.00002737
Epoch 34 | Train Loss: 2.852 | LR: 0.00002697
Epoch 35 | Train Loss: 2.844 | LR: 0.00002659
Epoch 36 | Train Loss: 2.837 | LR: 0.00002623
Epoch 37 | Train Loss: 2.830 | LR: 0.00002589
Epoch 38 | Train Loss: 2.822 | LR: 0.00002555
Epoch 39 | Train Loss: 2.818 | LR: 0.00002523
Epoch 40 | Train Loss: 2.811 | LR: 0.00002492
Epoch 41 | Train Loss: 2.806 | LR: 0.00002462
Epoch 42 | Train Loss: 2.800 | LR: 0.00002433
Epoch 43 | Train Loss: 2.795 | LR: 0.00002406
Epoch 44 | Train Loss: 2.789 | LR: 0.00002379
Epoch 45 | Train Loss: 2.785 | LR: 0.00002353
Epoch 46 | Train Loss: 2.779 | LR: 0.00002328
Epoch 47 | Train Loss: 2.775 | LR: 0.00002303
Epoch 48 | Train Loss: 2.771 | LR: 0.00002280
Epoch 49 | Train Loss: 2.766 | LR: 0.00002257
