[Epoch 0 | Batch 0 | Global Step 0] Main LR: 0.00000003 | WD: 0.00010000
[Epoch 0 | Batch 1 | Global Step 1] Main LR: 0.00000003 | WD: 0.00010000
[Epoch 0 | Batch 2 | Global Step 2] Main LR: 0.00000005 | WD: 0.00010000
[Epoch 0 | Batch 5 | Global Step 5] Main LR: 0.00000013 | WD: 0.00010000
[Epoch 0 | Batch 10 | Global Step 10] Main LR: 0.00000025 | WD: 0.00010000
[Epoch 0 | Batch 50 | Global Step 50] Main LR: 0.00000125 | WD: 0.00010000
[Epoch 0 | Batch 70 | Global Step 70] Main LR: 0.00000175 | WD: 0.00010000
[Epoch 0 | Batch 100 | Global Step 100] Main LR: 0.00000250 | WD: 0.00010000
[Epoch 0 | Batch 200 | Global Step 200] Main LR: 0.00000500 | WD: 0.00010000
[Epoch 0 | Batch 500 | Global Step 500] Main LR: 0.00001250 | WD: 0.00010000
[Epoch 0 | Batch 1000 | Global Step 1000] Main LR: 0.00002500 | WD: 0.00010000
[Epoch 0 | Batch 1500 | Global Step 1500] Main LR: 0.00003750 | WD: 0.00010000
[Epoch 0 | Batch 1585 | Global Step 1585] Main LR: 0.00003963 | WD: 0.00010000
[Epoch 1 | Batch 0 | Global Step 1586] Main LR: 0.00003965 | WD: 0.00010000
[Epoch 1 | Batch 1 | Global Step 1587] Main LR: 0.00003968 | WD: 0.00010000
[Epoch 1 | Batch 2 | Global Step 1588] Main LR: 0.00003970 | WD: 0.00010000
[Epoch 1 | Batch 5 | Global Step 1591] Main LR: 0.00003977 | WD: 0.00010000
[Epoch 1 | Batch 10 | Global Step 1596] Main LR: 0.00003990 | WD: 0.00010000
[Epoch 1 | Batch 50 | Global Step 1636] Main LR: 0.00004090 | WD: 0.00010000
[Epoch 1 | Batch 70 | Global Step 1656] Main LR: 0.00004140 | WD: 0.00010000
[Epoch 1 | Batch 100 | Global Step 1686] Main LR: 0.00004215 | WD: 0.00010000
[Epoch 1 | Batch 200 | Global Step 1786] Main LR: 0.00004465 | WD: 0.00010000
[Epoch 1 | Batch 500 | Global Step 2086] Main LR: 0.00005215 | WD: 0.00010000
[Epoch 1 | Batch 1000 | Global Step 2586] Main LR: 0.00006465 | WD: 0.00010000
[Epoch 1 | Batch 1500 | Global Step 3086] Main LR: 0.00007715 | WD: 0.00010000
[Epoch 1 | Batch 1585 | Global Step 3171] Main LR: 0.00007928 | WD: 0.00010000
[Epoch 3 | Batch 0 | Global Step 4758] Main LR: 0.00009169 | WD: 0.00010000
[Epoch 3 | Batch 1 | Global Step 4759] Main LR: 0.00009168 | WD: 0.00010000
[Epoch 3 | Batch 2 | Global Step 4760] Main LR: 0.00009167 | WD: 0.00010000
[Epoch 3 | Batch 5 | Global Step 4763] Main LR: 0.00009164 | WD: 0.00010000
[Epoch 3 | Batch 10 | Global Step 4768] Main LR: 0.00009159 | WD: 0.00010000
[Epoch 3 | Batch 50 | Global Step 4808] Main LR: 0.00009121 | WD: 0.00010000
[Epoch 3 | Batch 70 | Global Step 4828] Main LR: 0.00009102 | WD: 0.00010000
[Epoch 3 | Batch 100 | Global Step 4858] Main LR: 0.00009074 | WD: 0.00010000
[Epoch 3 | Batch 200 | Global Step 4958] Main LR: 0.00008982 | WD: 0.00010000
[Epoch 3 | Batch 500 | Global Step 5258] Main LR: 0.00008722 | WD: 0.00010000
[Epoch 3 | Batch 1000 | Global Step 5758] Main LR: 0.00008335 | WD: 0.00010000
[Epoch 3 | Batch 1500 | Global Step 6258] Main LR: 0.00007995 | WD: 0.00010000
[Epoch 3 | Batch 1585 | Global Step 6343] Main LR: 0.00007941 | WD: 0.00010000
[Epoch 5 | Batch 0 | Global Step 7930] Main LR: 0.00007102 | WD: 0.00010000
[Epoch 5 | Batch 1 | Global Step 7931] Main LR: 0.00007102 | WD: 0.00010000
[Epoch 5 | Batch 2 | Global Step 7932] Main LR: 0.00007101 | WD: 0.00010000
[Epoch 5 | Batch 5 | Global Step 7935] Main LR: 0.00007100 | WD: 0.00010000
[Epoch 5 | Batch 10 | Global Step 7940] Main LR: 0.00007098 | WD: 0.00010000
[Epoch 5 | Batch 50 | Global Step 7980] Main LR: 0.00007080 | WD: 0.00010000
[Epoch 5 | Batch 70 | Global Step 8000] Main LR: 0.00007071 | WD: 0.00010000
[Epoch 5 | Batch 100 | Global Step 8030] Main LR: 0.00007058 | WD: 0.00010000
[Epoch 5 | Batch 200 | Global Step 8130] Main LR: 0.00007014 | WD: 0.00010000
[Epoch 5 | Batch 500 | Global Step 8430] Main LR: 0.00006888 | WD: 0.00010000
[Epoch 5 | Batch 1000 | Global Step 8930] Main LR: 0.00006693 | WD: 0.00010000
[Epoch 5 | Batch 1500 | Global Step 9430] Main LR: 0.00006513 | WD: 0.00010000
[Epoch 5 | Batch 1585 | Global Step 9515] Main LR: 0.00006484 | WD: 0.00010000
[Epoch 10 | Batch 0 | Global Step 15860] Main LR: 0.00005022 | WD: 0.00010000
[Epoch 10 | Batch 1 | Global Step 15861] Main LR: 0.00005022 | WD: 0.00010000
[Epoch 10 | Batch 2 | Global Step 15862] Main LR: 0.00005022 | WD: 0.00010000
[Epoch 10 | Batch 5 | Global Step 15865] Main LR: 0.00005021 | WD: 0.00010000
[Epoch 10 | Batch 10 | Global Step 15870] Main LR: 0.00005020 | WD: 0.00010000
[Epoch 10 | Batch 50 | Global Step 15910] Main LR: 0.00005014 | WD: 0.00010000
[Epoch 10 | Batch 70 | Global Step 15930] Main LR: 0.00005011 | WD: 0.00010000
[Epoch 10 | Batch 100 | Global Step 15960] Main LR: 0.00005006 | WD: 0.00010000
[Epoch 10 | Batch 200 | Global Step 16060] Main LR: 0.00004991 | WD: 0.00010000
[Epoch 10 | Batch 500 | Global Step 16360] Main LR: 0.00004945 | WD: 0.00010000
[Epoch 10 | Batch 1000 | Global Step 16860] Main LR: 0.00004871 | WD: 0.00010000
[Epoch 10 | Batch 1500 | Global Step 17360] Main LR: 0.00004800 | WD: 0.00010000
[Epoch 10 | Batch 1585 | Global Step 17445] Main LR: 0.00004788 | WD: 0.00010000
[Epoch 20 | Batch 0 | Global Step 31720] Main LR: 0.00003551 | WD: 0.00010000
[Epoch 20 | Batch 1 | Global Step 31721] Main LR: 0.00003551 | WD: 0.00010000
[Epoch 20 | Batch 2 | Global Step 31722] Main LR: 0.00003551 | WD: 0.00010000
[Epoch 20 | Batch 5 | Global Step 31725] Main LR: 0.00003551 | WD: 0.00010000
[Epoch 20 | Batch 10 | Global Step 31730] Main LR: 0.00003551 | WD: 0.00010000
[Epoch 20 | Batch 50 | Global Step 31770] Main LR: 0.00003548 | WD: 0.00010000
[Epoch 20 | Batch 70 | Global Step 31790] Main LR: 0.00003547 | WD: 0.00010000
[Epoch 20 | Batch 100 | Global Step 31820] Main LR: 0.00003546 | WD: 0.00010000
[Epoch 20 | Batch 200 | Global Step 31920] Main LR: 0.00003540 | WD: 0.00010000
[Epoch 20 | Batch 500 | Global Step 32220] Main LR: 0.00003523 | WD: 0.00010000
[Epoch 20 | Batch 1000 | Global Step 32720] Main LR: 0.00003496 | WD: 0.00010000
[Epoch 20 | Batch 1500 | Global Step 33220] Main LR: 0.00003470 | WD: 0.00010000
[Epoch 20 | Batch 1585 | Global Step 33305] Main LR: 0.00003466 | WD: 0.00010000
[Epoch 30 | Batch 0 | Global Step 47580] Main LR: 0.00002899 | WD: 0.00010000
[Epoch 30 | Batch 1 | Global Step 47581] Main LR: 0.00002899 | WD: 0.00010000
[Epoch 30 | Batch 2 | Global Step 47582] Main LR: 0.00002899 | WD: 0.00010000
[Epoch 30 | Batch 5 | Global Step 47585] Main LR: 0.00002899 | WD: 0.00010000
[Epoch 30 | Batch 10 | Global Step 47590] Main LR: 0.00002899 | WD: 0.00010000
[Epoch 30 | Batch 50 | Global Step 47630] Main LR: 0.00002898 | WD: 0.00010000
[Epoch 30 | Batch 70 | Global Step 47650] Main LR: 0.00002897 | WD: 0.00010000
[Epoch 30 | Batch 100 | Global Step 47680] Main LR: 0.00002896 | WD: 0.00010000
[Epoch 30 | Batch 200 | Global Step 47780] Main LR: 0.00002893 | WD: 0.00010000
[Epoch 30 | Batch 500 | Global Step 48080] Main LR: 0.00002884 | WD: 0.00010000
[Epoch 30 | Batch 1000 | Global Step 48580] Main LR: 0.00002869 | WD: 0.00010000
[Epoch 30 | Batch 1500 | Global Step 49080] Main LR: 0.00002855 | WD: 0.00010000
[Epoch 30 | Batch 1585 | Global Step 49165] Main LR: 0.00002852 | WD: 0.00010000
[Epoch 40 | Batch 0 | Global Step 63440] Main LR: 0.00002511 | WD: 0.00010000
[Epoch 40 | Batch 1 | Global Step 63441] Main LR: 0.00002511 | WD: 0.00010000
[Epoch 40 | Batch 2 | Global Step 63442] Main LR: 0.00002511 | WD: 0.00010000
[Epoch 40 | Batch 5 | Global Step 63445] Main LR: 0.00002511 | WD: 0.00010000
[Epoch 40 | Batch 10 | Global Step 63450] Main LR: 0.00002511 | WD: 0.00010000
[Epoch 40 | Batch 50 | Global Step 63490] Main LR: 0.00002510 | WD: 0.00010000
[Epoch 40 | Batch 70 | Global Step 63510] Main LR: 0.00002510 | WD: 0.00010000
[Epoch 40 | Batch 100 | Global Step 63540] Main LR: 0.00002509 | WD: 0.00010000
[Epoch 40 | Batch 200 | Global Step 63640] Main LR: 0.00002507 | WD: 0.00010000
[Epoch 40 | Batch 500 | Global Step 63940] Main LR: 0.00002501 | WD: 0.00010000
[Epoch 40 | Batch 1000 | Global Step 64440] Main LR: 0.00002491 | WD: 0.00010000
[Epoch 40 | Batch 1500 | Global Step 64940] Main LR: 0.00002482 | WD: 0.00010000
[Epoch 40 | Batch 1585 | Global Step 65025] Main LR: 0.00002480 | WD: 0.00010000
[Epoch 45 | Batch 0 | Global Step 71370] Main LR: 0.00002367 | WD: 0.00010000
[Epoch 45 | Batch 1 | Global Step 71371] Main LR: 0.00002367 | WD: 0.00010000
[Epoch 45 | Batch 2 | Global Step 71372] Main LR: 0.00002367 | WD: 0.00010000
[Epoch 45 | Batch 5 | Global Step 71375] Main LR: 0.00002367 | WD: 0.00010000
[Epoch 45 | Batch 10 | Global Step 71380] Main LR: 0.00002367 | WD: 0.00010000
[Epoch 45 | Batch 50 | Global Step 71420] Main LR: 0.00002367 | WD: 0.00010000
[Epoch 45 | Batch 70 | Global Step 71440] Main LR: 0.00002366 | WD: 0.00010000
[Epoch 45 | Batch 100 | Global Step 71470] Main LR: 0.00002366 | WD: 0.00010000
[Epoch 45 | Batch 200 | Global Step 71570] Main LR: 0.00002364 | WD: 0.00010000
[Epoch 45 | Batch 500 | Global Step 71870] Main LR: 0.00002359 | WD: 0.00010000
[Epoch 45 | Batch 1000 | Global Step 72370] Main LR: 0.00002351 | WD: 0.00010000
[Epoch 45 | Batch 1500 | Global Step 72870] Main LR: 0.00002343 | WD: 0.00010000
[Epoch 45 | Batch 1585 | Global Step 72955] Main LR: 0.00002342 | WD: 0.00010000
