Epoch 0 | Last Batch 1585 | M_Optimizer LR => 0.00003965 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.53 sec
Epoch 1 | Last Batch 1585 | M_Optimizer LR => 0.00007930 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.45 sec
Epoch 2 | Last Batch 1585 | M_Optimizer LR => 0.00009169 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 43.39 sec
Epoch 3 | Last Batch 1585 | M_Optimizer LR => 0.00007941 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.21 sec
Epoch 4 | Last Batch 1585 | M_Optimizer LR => 0.00007102 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.38 sec
Epoch 5 | Last Batch 1585 | M_Optimizer LR => 0.00006483 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.84 sec
Epoch 6 | Last Batch 1585 | M_Optimizer LR => 0.00006002 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.44 sec
Epoch 7 | Last Batch 1585 | M_Optimizer LR => 0.00005615 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.34 sec
Epoch 8 | Last Batch 1585 | M_Optimizer LR => 0.00005294 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.22 sec
Epoch 9 | Last Batch 1585 | M_Optimizer LR => 0.00005022 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.91 sec
Epoch 10 | Last Batch 1585 | M_Optimizer LR => 0.00004788 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.26 sec
Epoch 11 | Last Batch 1585 | M_Optimizer LR => 0.00004584 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.33 sec
Epoch 12 | Last Batch 1585 | M_Optimizer LR => 0.00004405 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.93 sec
Epoch 13 | Last Batch 1585 | M_Optimizer LR => 0.00004244 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.86 sec
Epoch 14 | Last Batch 1585 | M_Optimizer LR => 0.00004100 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.59 sec
Epoch 15 | Last Batch 1585 | M_Optimizer LR => 0.00003970 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.93 sec
Epoch 16 | Last Batch 1585 | M_Optimizer LR => 0.00003852 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.09 sec
Epoch 17 | Last Batch 1585 | M_Optimizer LR => 0.00003743 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.09 sec
Epoch 18 | Last Batch 1585 | M_Optimizer LR => 0.00003643 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.45 sec
