Epoch 0 | Train Loss: 7.833 | LR: 0.00003965
Epoch 1 | Train Loss: 7.055 | LR: 0.00007930
Epoch 2 | Train Loss: 6.379 | LR: 0.00009169
Epoch 3 | Train Loss: 5.809 | LR: 0.00007941
Epoch 4 | Train Loss: 5.476 | LR: 0.00007102
Epoch 5 | Train Loss: 5.257 | LR: 0.00006483
Epoch 6 | Train Loss: 5.099 | LR: 0.00006002
Epoch 7 | Train Loss: 4.986 | LR: 0.00005615
Epoch 8 | Train Loss: 4.890 | LR: 0.00005294
Epoch 9 | Train Loss: 4.809 | LR: 0.00005022
Epoch 10 | Train Loss: 4.739 | LR: 0.00004788
Epoch 11 | Train Loss: 4.678 | LR: 0.00004584
Epoch 12 | Train Loss: 4.626 | LR: 0.00004405
Epoch 13 | Train Loss: 4.581 | LR: 0.00004244
Epoch 14 | Train Loss: 4.542 | LR: 0.00004100
Epoch 15 | Train Loss: 4.506 | LR: 0.00003970
Epoch 16 | Train Loss: 4.472 | LR: 0.00003852
Epoch 17 | Train Loss: 4.442 | LR: 0.00003743
Epoch 18 | Train Loss: 4.415 | LR: 0.00003643
Epoch 19 | Train Loss: 4.390 | LR: 0.00003551
Epoch 20 | Train Loss: 4.366 | LR: 0.00003466
Epoch 21 | Train Loss: 4.344 | LR: 0.00003386
Epoch 22 | Train Loss: 4.321 | LR: 0.00003311
Epoch 23 | Train Loss: 4.303 | LR: 0.00003242
Epoch 24 | Train Loss: 4.284 | LR: 0.00003176
Epoch 25 | Train Loss: 4.265 | LR: 0.00003115
Epoch 26 | Train Loss: 4.247 | LR: 0.00003056
Epoch 27 | Train Loss: 4.231 | LR: 0.00003001
Epoch 28 | Train Loss: 4.215 | LR: 0.00002949
Epoch 29 | Train Loss: 4.200 | LR: 0.00002899
Epoch 30 | Train Loss: 4.185 | LR: 0.00002852
Epoch 31 | Train Loss: 4.171 | LR: 0.00002807
Epoch 32 | Train Loss: 4.159 | LR: 0.00002765
Epoch 33 | Train Loss: 4.145 | LR: 0.00002724
Epoch 34 | Train Loss: 4.134 | LR: 0.00002684
Epoch 35 | Train Loss: 4.121 | LR: 0.00002647
Epoch 36 | Train Loss: 4.110 | LR: 0.00002611
Epoch 37 | Train Loss: 4.099 | LR: 0.00002576
Epoch 38 | Train Loss: 4.090 | LR: 0.00002543
Epoch 39 | Train Loss: 4.079 | LR: 0.00002511
Epoch 40 | Train Loss: 4.071 | LR: 0.00002480
Epoch 41 | Train Loss: 4.061 | LR: 0.00002450
Epoch 42 | Train Loss: 4.052 | LR: 0.00002422
Epoch 43 | Train Loss: 4.044 | LR: 0.00002394
Epoch 44 | Train Loss: 4.035 | LR: 0.00002367
Epoch 45 | Train Loss: 4.027 | LR: 0.00002342
Epoch 46 | Train Loss: 4.022 | LR: 0.00002316
Epoch 47 | Train Loss: 4.012 | LR: 0.00002292
Epoch 48 | Train Loss: 4.005 | LR: 0.00002269
Epoch 49 | Train Loss: 3.999 | LR: 0.00002246
