Epoch 0 | Last Batch 1585 | M_Optimizer LR => 0.00003965 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 32.76 sec
Epoch 1 | Last Batch 1585 | M_Optimizer LR => 0.00007930 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 34.07 sec
Epoch 2 | Last Batch 1585 | M_Optimizer LR => 0.00009169 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 33.51 sec
Epoch 3 | Last Batch 1585 | M_Optimizer LR => 0.00007941 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 32.45 sec
Epoch 4 | Last Batch 1585 | M_Optimizer LR => 0.00007102 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 34.27 sec
Epoch 5 | Last Batch 1585 | M_Optimizer LR => 0.00006483 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 31.30 sec
Epoch 6 | Last Batch 1585 | M_Optimizer LR => 0.00006002 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 32.23 sec
Epoch 7 | Last Batch 1585 | M_Optimizer LR => 0.00005615 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 31.70 sec
Epoch 8 | Last Batch 1585 | M_Optimizer LR => 0.00005294 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 30.47 sec
Epoch 9 | Last Batch 1585 | M_Optimizer LR => 0.00005022 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 31.45 sec
Epoch 10 | Last Batch 1585 | M_Optimizer LR => 0.00004788 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 33.18 sec
Epoch 11 | Last Batch 1585 | M_Optimizer LR => 0.00004584 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 31.03 sec
Epoch 12 | Last Batch 1585 | M_Optimizer LR => 0.00004405 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 29.45 sec
Epoch 13 | Last Batch 1585 | M_Optimizer LR => 0.00004244 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 29.42 sec
