Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn

Checkpoint epoch_0_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 7.255 | sacreBLEU: 1.41 | Beam=5
Checkpoint epoch_1_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 6.587 | sacreBLEU: 1.97 | Beam=5
Checkpoint epoch_2_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 5.893 | sacreBLEU: 5.71 | Beam=5
Checkpoint epoch_3_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 5.498 | sacreBLEU: 7.65 | Beam=5
Checkpoint epoch_4_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 5.273 | sacreBLEU: 11.19 | Beam=5
Checkpoint epoch_5_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 5.112 | sacreBLEU: 12.22 | Beam=5
Checkpoint epoch_6_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.996 | sacreBLEU: 13.53 | Beam=5
Checkpoint epoch_7_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.920 | sacreBLEU: 14.30 | Beam=5
Checkpoint epoch_8_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.858 | sacreBLEU: 15.04 | Beam=5
Checkpoint epoch_9_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.800 | sacreBLEU: 15.46 | Beam=5
Checkpoint epoch_10_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.741 | sacreBLEU: 14.76 | Beam=5
Checkpoint epoch_11_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.702 | sacreBLEU: 16.25 | Beam=5
Checkpoint epoch_12_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.669 | sacreBLEU: 17.24 | Beam=5
Checkpoint epoch_13_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.641 | sacreBLEU: 15.65 | Beam=5
Checkpoint epoch_14_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.577 | sacreBLEU: 17.20 | Beam=5
Checkpoint epoch_15_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.566 | sacreBLEU: 16.63 | Beam=5
Checkpoint epoch_16_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.562 | sacreBLEU: 18.12 | Beam=5
Checkpoint epoch_17_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.529 | sacreBLEU: 18.00 | Beam=5
Checkpoint epoch_18_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.519 | sacreBLEU: 18.50 | Beam=5
Checkpoint epoch_19_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.474 | sacreBLEU: 18.05 | Beam=5
Checkpoint epoch_20_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.468 | sacreBLEU: 17.83 | Beam=5
