Epoch 0 | Last Batch 1583 | M_Optimizer LR => 0.00003960 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 30.19 sec
Epoch 1 | Last Batch 1583 | M_Optimizer LR => 0.00007920 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.47 sec
Epoch 2 | Last Batch 1583 | M_Optimizer LR => 0.00009175 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.12 sec
Epoch 3 | Last Batch 1583 | M_Optimizer LR => 0.00007946 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.97 sec
Epoch 4 | Last Batch 1583 | M_Optimizer LR => 0.00007107 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.12 sec
Epoch 5 | Last Batch 1583 | M_Optimizer LR => 0.00006487 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.63 sec
Epoch 6 | Last Batch 1583 | M_Optimizer LR => 0.00006006 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.46 sec
Epoch 7 | Last Batch 1583 | M_Optimizer LR => 0.00005618 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.79 sec
Epoch 8 | Last Batch 1583 | M_Optimizer LR => 0.00005297 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.78 sec
Epoch 9 | Last Batch 1583 | M_Optimizer LR => 0.00005025 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.05 sec
Epoch 10 | Last Batch 1583 | M_Optimizer LR => 0.00004791 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.68 sec
Epoch 11 | Last Batch 1583 | M_Optimizer LR => 0.00004587 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.20 sec
Epoch 12 | Last Batch 1583 | M_Optimizer LR => 0.00004407 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.19 sec
Epoch 13 | Last Batch 1583 | M_Optimizer LR => 0.00004247 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.66 sec
Epoch 14 | Last Batch 1583 | M_Optimizer LR => 0.00004103 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.66 sec
Epoch 15 | Last Batch 1583 | M_Optimizer LR => 0.00003973 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.08 sec
Epoch 16 | Last Batch 1583 | M_Optimizer LR => 0.00003854 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.32 sec
Epoch 17 | Last Batch 1583 | M_Optimizer LR => 0.00003746 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.08 sec
Epoch 18 | Last Batch 1583 | M_Optimizer LR => 0.00003646 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 29.02 sec
Epoch 19 | Last Batch 1583 | M_Optimizer LR => 0.00003553 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.96 sec
Epoch 20 | Last Batch 1583 | M_Optimizer LR => 0.00003468 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.06 sec
Epoch 21 | Last Batch 1583 | M_Optimizer LR => 0.00003388 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.83 sec
Epoch 22 | Last Batch 1583 | M_Optimizer LR => 0.00003314 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.79 sec
Epoch 23 | Last Batch 1583 | M_Optimizer LR => 0.00003244 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.80 sec
Epoch 24 | Last Batch 1583 | M_Optimizer LR => 0.00003178 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 25.41 sec
Epoch 25 | Last Batch 1583 | M_Optimizer LR => 0.00003116 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.96 sec
Epoch 26 | Last Batch 1583 | M_Optimizer LR => 0.00003058 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.80 sec
Epoch 27 | Last Batch 1583 | M_Optimizer LR => 0.00003003 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.36 sec
Epoch 28 | Last Batch 1583 | M_Optimizer LR => 0.00002951 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 25.73 sec
Epoch 29 | Last Batch 1583 | M_Optimizer LR => 0.00002901 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.68 sec
Epoch 30 | Last Batch 1583 | M_Optimizer LR => 0.00002854 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.98 sec
Epoch 31 | Last Batch 1583 | M_Optimizer LR => 0.00002809 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.49 sec
Epoch 32 | Last Batch 1583 | M_Optimizer LR => 0.00002766 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.61 sec
Epoch 33 | Last Batch 1583 | M_Optimizer LR => 0.00002725 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.63 sec
Epoch 34 | Last Batch 1583 | M_Optimizer LR => 0.00002686 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.38 sec
Epoch 35 | Last Batch 1583 | M_Optimizer LR => 0.00002649 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.89 sec
Epoch 36 | Last Batch 1583 | M_Optimizer LR => 0.00002612 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.85 sec
Epoch 37 | Last Batch 1583 | M_Optimizer LR => 0.00002578 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.60 sec
Epoch 38 | Last Batch 1583 | M_Optimizer LR => 0.00002545 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.23 sec
Epoch 39 | Last Batch 1583 | M_Optimizer LR => 0.00002513 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.87 sec
Epoch 40 | Last Batch 1583 | M_Optimizer LR => 0.00002482 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.22 sec
Epoch 41 | Last Batch 1583 | M_Optimizer LR => 0.00002452 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.06 sec
Epoch 42 | Last Batch 1583 | M_Optimizer LR => 0.00002423 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.44 sec
Epoch 43 | Last Batch 1583 | M_Optimizer LR => 0.00002396 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.18 sec
Epoch 44 | Last Batch 1583 | M_Optimizer LR => 0.00002369 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.49 sec
Epoch 45 | Last Batch 1583 | M_Optimizer LR => 0.00002343 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.81 sec
Epoch 46 | Last Batch 1583 | M_Optimizer LR => 0.00002318 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.55 sec
Epoch 47 | Last Batch 1583 | M_Optimizer LR => 0.00002294 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.77 sec
Epoch 48 | Last Batch 1583 | M_Optimizer LR => 0.00002270 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.75 sec
Epoch 49 | Last Batch 1583 | M_Optimizer LR => 0.00002247 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.29 sec

🕒 Total Training Time => Transformer: 73 min 57.95 sec
