Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn

Checkpoint epoch_0_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 5.637 | sacreBLEU: 8.71 | Beam=5
Checkpoint epoch_1_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.997 | sacreBLEU: 5.59 | Beam=5
Checkpoint epoch_2_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.648 | sacreBLEU: 11.65 | Beam=5

♻️ Resuming checkpoint testing after crash

Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn

Checkpoint epoch_3_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.359 | sacreBLEU: 13.91 | Beam=5
Checkpoint epoch_4_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.168 | sacreBLEU: 17.58 | Beam=5
Checkpoint epoch_5_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.058 | sacreBLEU: 19.21 | Beam=5
Checkpoint epoch_6_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.940 | sacreBLEU: 21.56 | Beam=5
Checkpoint epoch_7_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.894 | sacreBLEU: 22.75 | Beam=5
Checkpoint epoch_8_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.803 | sacreBLEU: 26.71 | Beam=5
Checkpoint epoch_9_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.743 | sacreBLEU: 26.85 | Beam=5
Checkpoint epoch_10_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.706 | sacreBLEU: 25.32 | Beam=5
