Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn

Epoch 0 | Train Loss: 6.601 | LR: 0.00003960
Epoch 1 | Train Loss: 5.457 | LR: 0.00007920
Epoch 2 | Train Loss: 4.965 | LR: 0.00009175
Epoch 3 | Train Loss: 4.645 | LR: 0.00007946
Epoch 4 | Train Loss: 4.400 | LR: 0.00007107
Epoch 5 | Train Loss: 4.225 | LR: 0.00006487
Epoch 6 | Train Loss: 4.097 | LR: 0.00006006
Epoch 7 | Train Loss: 3.995 | LR: 0.00005618
Epoch 8 | Train Loss: 3.914 | LR: 0.00005297
Epoch 9 | Train Loss: 3.840 | LR: 0.00005025
Epoch 10 | Train Loss: 3.778 | LR: 0.00004791
Epoch 11 | Train Loss: 3.726 | LR: 0.00004587
Epoch 12 | Train Loss: 3.679 | LR: 0.00004407
Epoch 13 | Train Loss: 3.640 | LR: 0.00004247
Epoch 14 | Train Loss: 3.605 | LR: 0.00004103
Epoch 15 | Train Loss: 3.573 | LR: 0.00003973
Epoch 16 | Train Loss: 3.547 | LR: 0.00003854
Epoch 17 | Train Loss: 3.521 | LR: 0.00003746
Epoch 18 | Train Loss: 3.498 | LR: 0.00003646
Epoch 19 | Train Loss: 3.477 | LR: 0.00003553
Epoch 20 | Train Loss: 3.459 | LR: 0.00003468
Epoch 21 | Train Loss: 3.438 | LR: 0.00003388
Epoch 22 | Train Loss: 3.422 | LR: 0.00003314
Epoch 23 | Train Loss: 3.404 | LR: 0.00003244
Epoch 24 | Train Loss: 3.390 | LR: 0.00003178
Epoch 25 | Train Loss: 3.376 | LR: 0.00003116
Epoch 26 | Train Loss: 3.362 | LR: 0.00003058
Epoch 27 | Train Loss: 3.349 | LR: 0.00003003
Epoch 28 | Train Loss: 3.337 | LR: 0.00002951
Epoch 29 | Train Loss: 3.324 | LR: 0.00002901
Epoch 30 | Train Loss: 3.315 | LR: 0.00002854
Epoch 31 | Train Loss: 3.303 | LR: 0.00002809
Epoch 32 | Train Loss: 3.294 | LR: 0.00002766
Epoch 33 | Train Loss: 3.285 | LR: 0.00002725
Epoch 34 | Train Loss: 3.275 | LR: 0.00002686
Epoch 35 | Train Loss: 3.266 | LR: 0.00002649
Epoch 36 | Train Loss: 3.257 | LR: 0.00002612
Epoch 37 | Train Loss: 3.250 | LR: 0.00002578
Epoch 38 | Train Loss: 3.242 | LR: 0.00002545
Epoch 39 | Train Loss: 3.234 | LR: 0.00002513
Epoch 40 | Train Loss: 3.228 | LR: 0.00002482
Epoch 41 | Train Loss: 3.219 | LR: 0.00002452
Epoch 42 | Train Loss: 3.213 | LR: 0.00002423
Epoch 43 | Train Loss: 3.207 | LR: 0.00002396
Epoch 44 | Train Loss: 3.201 | LR: 0.00002369
Epoch 45 | Train Loss: 3.195 | LR: 0.00002343
Epoch 46 | Train Loss: 3.190 | LR: 0.00002318
Epoch 47 | Train Loss: 3.184 | LR: 0.00002294
Epoch 48 | Train Loss: 3.178 | LR: 0.00002270
Epoch 49 | Train Loss: 3.172 | LR: 0.00002247
