Model: Baseline Fairseq Transformer

Epoch 0 | Train Loss: 6.583 | LR: 0.00003960
Epoch 1 | Train Loss: 5.459 | LR: 0.00007920
Epoch 2 | Train Loss: 4.964 | LR: 0.00009175
Epoch 3 | Train Loss: 4.642 | LR: 0.00007946
Epoch 4 | Train Loss: 4.401 | LR: 0.00007107
Epoch 5 | Train Loss: 4.228 | LR: 0.00006487
Epoch 6 | Train Loss: 4.100 | LR: 0.00006006
Epoch 7 | Train Loss: 4.001 | LR: 0.00005618
Epoch 8 | Train Loss: 3.922 | LR: 0.00005297
Epoch 9 | Train Loss: 3.851 | LR: 0.00005025
Epoch 10 | Train Loss: 3.793 | LR: 0.00004791
Epoch 11 | Train Loss: 3.743 | LR: 0.00004587
Epoch 12 | Train Loss: 3.698 | LR: 0.00004407
Epoch 13 | Train Loss: 3.660 | LR: 0.00004247
Epoch 14 | Train Loss: 3.628 | LR: 0.00004103
Epoch 15 | Train Loss: 3.597 | LR: 0.00003973
Epoch 16 | Train Loss: 3.572 | LR: 0.00003854
Epoch 17 | Train Loss: 3.548 | LR: 0.00003746
Epoch 18 | Train Loss: 3.526 | LR: 0.00003646
Epoch 19 | Train Loss: 3.507 | LR: 0.00003553
Epoch 20 | Train Loss: 3.490 | LR: 0.00003468
Epoch 21 | Train Loss: 3.471 | LR: 0.00003388
Epoch 22 | Train Loss: 3.456 | LR: 0.00003314
Epoch 23 | Train Loss: 3.441 | LR: 0.00003244
Epoch 24 | Train Loss: 3.428 | LR: 0.00003178
Epoch 25 | Train Loss: 3.414 | LR: 0.00003116
Epoch 26 | Train Loss: 3.401 | LR: 0.00003058
Epoch 27 | Train Loss: 3.390 | LR: 0.00003003
Epoch 28 | Train Loss: 3.378 | LR: 0.00002951
Epoch 29 | Train Loss: 3.366 | LR: 0.00002901
Epoch 30 | Train Loss: 3.357 | LR: 0.00002854
Epoch 31 | Train Loss: 3.348 | LR: 0.00002809
Epoch 32 | Train Loss: 3.339 | LR: 0.00002766
Epoch 33 | Train Loss: 3.331 | LR: 0.00002725
Epoch 34 | Train Loss: 3.322 | LR: 0.00002686
Epoch 35 | Train Loss: 3.313 | LR: 0.00002649
Epoch 36 | Train Loss: 3.305 | LR: 0.00002612
Epoch 37 | Train Loss: 3.299 | LR: 0.00002578
Epoch 38 | Train Loss: 3.291 | LR: 0.00002545
Epoch 39 | Train Loss: 3.284 | LR: 0.00002513
Epoch 40 | Train Loss: 3.278 | LR: 0.00002482
Epoch 41 | Train Loss: 3.271 | LR: 0.00002452
Epoch 42 | Train Loss: 3.265 | LR: 0.00002423
Epoch 43 | Train Loss: 3.259 | LR: 0.00002396
Epoch 44 | Train Loss: 3.253 | LR: 0.00002369
Epoch 45 | Train Loss: 3.247 | LR: 0.00002343
Epoch 46 | Train Loss: 3.243 | LR: 0.00002318
Epoch 47 | Train Loss: 3.238 | LR: 0.00002294
Epoch 48 | Train Loss: 3.233 | LR: 0.00002270
Epoch 49 | Train Loss: 3.227 | LR: 0.00002247
