[Epoch 0 | Batch 0 | Global Step 0] Main LR: 0.00000003 | WD: 0.00010000
[Epoch 0 | Batch 1 | Global Step 1] Main LR: 0.00000003 | WD: 0.00010000
[Epoch 0 | Batch 2 | Global Step 2] Main LR: 0.00000005 | WD: 0.00010000
[Epoch 0 | Batch 5 | Global Step 5] Main LR: 0.00000013 | WD: 0.00010000
[Epoch 0 | Batch 10 | Global Step 10] Main LR: 0.00000025 | WD: 0.00010000
[Epoch 0 | Batch 50 | Global Step 50] Main LR: 0.00000125 | WD: 0.00010000
[Epoch 0 | Batch 70 | Global Step 70] Main LR: 0.00000175 | WD: 0.00010000
[Epoch 0 | Batch 100 | Global Step 100] Main LR: 0.00000250 | WD: 0.00010000
[Epoch 0 | Batch 200 | Global Step 200] Main LR: 0.00000500 | WD: 0.00010000
[Epoch 0 | Batch 500 | Global Step 500] Main LR: 0.00001250 | WD: 0.00010000
[Epoch 0 | Batch 1000 | Global Step 1000] Main LR: 0.00002500 | WD: 0.00010000
[Epoch 0 | Batch 1500 | Global Step 1500] Main LR: 0.00003750 | WD: 0.00010000
[Epoch 0 | Batch 1583 | Global Step 1583] Main LR: 0.00003957 | WD: 0.00010000
[Epoch 1 | Batch 0 | Global Step 1584] Main LR: 0.00003960 | WD: 0.00010000
[Epoch 1 | Batch 1 | Global Step 1585] Main LR: 0.00003963 | WD: 0.00010000
[Epoch 1 | Batch 2 | Global Step 1586] Main LR: 0.00003965 | WD: 0.00010000
[Epoch 1 | Batch 5 | Global Step 1589] Main LR: 0.00003973 | WD: 0.00010000
[Epoch 1 | Batch 10 | Global Step 1594] Main LR: 0.00003985 | WD: 0.00010000
[Epoch 1 | Batch 50 | Global Step 1634] Main LR: 0.00004085 | WD: 0.00010000
[Epoch 1 | Batch 70 | Global Step 1654] Main LR: 0.00004135 | WD: 0.00010000
[Epoch 1 | Batch 100 | Global Step 1684] Main LR: 0.00004210 | WD: 0.00010000
[Epoch 1 | Batch 200 | Global Step 1784] Main LR: 0.00004460 | WD: 0.00010000
[Epoch 1 | Batch 500 | Global Step 2084] Main LR: 0.00005210 | WD: 0.00010000
[Epoch 1 | Batch 1000 | Global Step 2584] Main LR: 0.00006460 | WD: 0.00010000
[Epoch 1 | Batch 1500 | Global Step 3084] Main LR: 0.00007710 | WD: 0.00010000
[Epoch 1 | Batch 1583 | Global Step 3167] Main LR: 0.00007918 | WD: 0.00010000
[Epoch 3 | Batch 0 | Global Step 4752] Main LR: 0.00009175 | WD: 0.00010000
[Epoch 3 | Batch 1 | Global Step 4753] Main LR: 0.00009174 | WD: 0.00010000
[Epoch 3 | Batch 2 | Global Step 4754] Main LR: 0.00009173 | WD: 0.00010000
[Epoch 3 | Batch 5 | Global Step 4757] Main LR: 0.00009170 | WD: 0.00010000
[Epoch 3 | Batch 10 | Global Step 4762] Main LR: 0.00009165 | WD: 0.00010000
[Epoch 3 | Batch 50 | Global Step 4802] Main LR: 0.00009127 | WD: 0.00010000
[Epoch 3 | Batch 70 | Global Step 4822] Main LR: 0.00009108 | WD: 0.00010000
[Epoch 3 | Batch 100 | Global Step 4852] Main LR: 0.00009080 | WD: 0.00010000
[Epoch 3 | Batch 200 | Global Step 4952] Main LR: 0.00008988 | WD: 0.00010000
[Epoch 3 | Batch 500 | Global Step 5252] Main LR: 0.00008727 | WD: 0.00010000
[Epoch 3 | Batch 1000 | Global Step 5752] Main LR: 0.00008339 | WD: 0.00010000
[Epoch 3 | Batch 1500 | Global Step 6252] Main LR: 0.00007999 | WD: 0.00010000
[Epoch 3 | Batch 1583 | Global Step 6335] Main LR: 0.00007946 | WD: 0.00010000
[Epoch 5 | Batch 0 | Global Step 7920] Main LR: 0.00007107 | WD: 0.00010000
[Epoch 5 | Batch 1 | Global Step 7921] Main LR: 0.00007106 | WD: 0.00010000
[Epoch 5 | Batch 2 | Global Step 7922] Main LR: 0.00007106 | WD: 0.00010000
[Epoch 5 | Batch 5 | Global Step 7925] Main LR: 0.00007104 | WD: 0.00010000
[Epoch 5 | Batch 10 | Global Step 7930] Main LR: 0.00007102 | WD: 0.00010000
[Epoch 5 | Batch 50 | Global Step 7970] Main LR: 0.00007084 | WD: 0.00010000
[Epoch 5 | Batch 70 | Global Step 7990] Main LR: 0.00007075 | WD: 0.00010000
[Epoch 5 | Batch 100 | Global Step 8020] Main LR: 0.00007062 | WD: 0.00010000
[Epoch 5 | Batch 200 | Global Step 8120] Main LR: 0.00007019 | WD: 0.00010000
[Epoch 5 | Batch 500 | Global Step 8420] Main LR: 0.00006892 | WD: 0.00010000
[Epoch 5 | Batch 1000 | Global Step 8920] Main LR: 0.00006696 | WD: 0.00010000
[Epoch 5 | Batch 1500 | Global Step 9420] Main LR: 0.00006516 | WD: 0.00010000
[Epoch 5 | Batch 1583 | Global Step 9503] Main LR: 0.00006488 | WD: 0.00010000
[Epoch 10 | Batch 0 | Global Step 15840] Main LR: 0.00005025 | WD: 0.00010000
[Epoch 10 | Batch 1 | Global Step 15841] Main LR: 0.00005025 | WD: 0.00010000
[Epoch 10 | Batch 2 | Global Step 15842] Main LR: 0.00005025 | WD: 0.00010000
[Epoch 10 | Batch 5 | Global Step 15845] Main LR: 0.00005024 | WD: 0.00010000
[Epoch 10 | Batch 10 | Global Step 15850] Main LR: 0.00005024 | WD: 0.00010000
[Epoch 10 | Batch 50 | Global Step 15890] Main LR: 0.00005017 | WD: 0.00010000
[Epoch 10 | Batch 70 | Global Step 15910] Main LR: 0.00005014 | WD: 0.00010000
[Epoch 10 | Batch 100 | Global Step 15940] Main LR: 0.00005009 | WD: 0.00010000
[Epoch 10 | Batch 200 | Global Step 16040] Main LR: 0.00004994 | WD: 0.00010000
[Epoch 10 | Batch 500 | Global Step 16340] Main LR: 0.00004948 | WD: 0.00010000
[Epoch 10 | Batch 1000 | Global Step 16840] Main LR: 0.00004874 | WD: 0.00010000
[Epoch 10 | Batch 1500 | Global Step 17340] Main LR: 0.00004803 | WD: 0.00010000
[Epoch 10 | Batch 1583 | Global Step 17423] Main LR: 0.00004791 | WD: 0.00010000
[Epoch 20 | Batch 0 | Global Step 31680] Main LR: 0.00003553 | WD: 0.00010000
[Epoch 20 | Batch 1 | Global Step 31681] Main LR: 0.00003553 | WD: 0.00010000
[Epoch 20 | Batch 2 | Global Step 31682] Main LR: 0.00003553 | WD: 0.00010000
[Epoch 20 | Batch 5 | Global Step 31685] Main LR: 0.00003553 | WD: 0.00010000
[Epoch 20 | Batch 10 | Global Step 31690] Main LR: 0.00003553 | WD: 0.00010000
[Epoch 20 | Batch 50 | Global Step 31730] Main LR: 0.00003551 | WD: 0.00010000
[Epoch 20 | Batch 70 | Global Step 31750] Main LR: 0.00003549 | WD: 0.00010000
[Epoch 20 | Batch 100 | Global Step 31780] Main LR: 0.00003548 | WD: 0.00010000
[Epoch 20 | Batch 200 | Global Step 31880] Main LR: 0.00003542 | WD: 0.00010000
[Epoch 20 | Batch 500 | Global Step 32180] Main LR: 0.00003526 | WD: 0.00010000
[Epoch 20 | Batch 1000 | Global Step 32680] Main LR: 0.00003499 | WD: 0.00010000
[Epoch 20 | Batch 1500 | Global Step 33180] Main LR: 0.00003472 | WD: 0.00010000
[Epoch 20 | Batch 1583 | Global Step 33263] Main LR: 0.00003468 | WD: 0.00010000
[Epoch 30 | Batch 0 | Global Step 47520] Main LR: 0.00002901 | WD: 0.00010000
[Epoch 30 | Batch 1 | Global Step 47521] Main LR: 0.00002901 | WD: 0.00010000
[Epoch 30 | Batch 2 | Global Step 47522] Main LR: 0.00002901 | WD: 0.00010000
[Epoch 30 | Batch 5 | Global Step 47525] Main LR: 0.00002901 | WD: 0.00010000
[Epoch 30 | Batch 10 | Global Step 47530] Main LR: 0.00002901 | WD: 0.00010000
[Epoch 30 | Batch 50 | Global Step 47570] Main LR: 0.00002900 | WD: 0.00010000
[Epoch 30 | Batch 70 | Global Step 47590] Main LR: 0.00002899 | WD: 0.00010000
[Epoch 30 | Batch 100 | Global Step 47620] Main LR: 0.00002898 | WD: 0.00010000
[Epoch 30 | Batch 200 | Global Step 47720] Main LR: 0.00002895 | WD: 0.00010000
[Epoch 30 | Batch 500 | Global Step 48020] Main LR: 0.00002886 | WD: 0.00010000
[Epoch 30 | Batch 1000 | Global Step 48520] Main LR: 0.00002871 | WD: 0.00010000
[Epoch 30 | Batch 1500 | Global Step 49020] Main LR: 0.00002857 | WD: 0.00010000
[Epoch 30 | Batch 1583 | Global Step 49103] Main LR: 0.00002854 | WD: 0.00010000
[Epoch 40 | Batch 0 | Global Step 63360] Main LR: 0.00002513 | WD: 0.00010000
[Epoch 40 | Batch 1 | Global Step 63361] Main LR: 0.00002513 | WD: 0.00010000
[Epoch 40 | Batch 2 | Global Step 63362] Main LR: 0.00002513 | WD: 0.00010000
[Epoch 40 | Batch 5 | Global Step 63365] Main LR: 0.00002512 | WD: 0.00010000
[Epoch 40 | Batch 10 | Global Step 63370] Main LR: 0.00002512 | WD: 0.00010000
[Epoch 40 | Batch 50 | Global Step 63410] Main LR: 0.00002512 | WD: 0.00010000
[Epoch 40 | Batch 70 | Global Step 63430] Main LR: 0.00002511 | WD: 0.00010000
[Epoch 40 | Batch 100 | Global Step 63460] Main LR: 0.00002511 | WD: 0.00010000
[Epoch 40 | Batch 200 | Global Step 63560] Main LR: 0.00002509 | WD: 0.00010000
[Epoch 40 | Batch 500 | Global Step 63860] Main LR: 0.00002503 | WD: 0.00010000
[Epoch 40 | Batch 1000 | Global Step 64360] Main LR: 0.00002493 | WD: 0.00010000
[Epoch 40 | Batch 1500 | Global Step 64860] Main LR: 0.00002483 | WD: 0.00010000
[Epoch 40 | Batch 1583 | Global Step 64943] Main LR: 0.00002482 | WD: 0.00010000
[Epoch 45 | Batch 0 | Global Step 71280] Main LR: 0.00002369 | WD: 0.00010000
[Epoch 45 | Batch 1 | Global Step 71281] Main LR: 0.00002369 | WD: 0.00010000
[Epoch 45 | Batch 2 | Global Step 71282] Main LR: 0.00002369 | WD: 0.00010000
[Epoch 45 | Batch 5 | Global Step 71285] Main LR: 0.00002369 | WD: 0.00010000
[Epoch 45 | Batch 10 | Global Step 71290] Main LR: 0.00002369 | WD: 0.00010000
[Epoch 45 | Batch 50 | Global Step 71330] Main LR: 0.00002368 | WD: 0.00010000
[Epoch 45 | Batch 70 | Global Step 71350] Main LR: 0.00002368 | WD: 0.00010000
[Epoch 45 | Batch 100 | Global Step 71380] Main LR: 0.00002367 | WD: 0.00010000
[Epoch 45 | Batch 200 | Global Step 71480] Main LR: 0.00002366 | WD: 0.00010000
[Epoch 45 | Batch 500 | Global Step 71780] Main LR: 0.00002361 | WD: 0.00010000
[Epoch 45 | Batch 1000 | Global Step 72280] Main LR: 0.00002352 | WD: 0.00010000
[Epoch 45 | Batch 1500 | Global Step 72780] Main LR: 0.00002344 | WD: 0.00010000
[Epoch 45 | Batch 1583 | Global Step 72863] Main LR: 0.00002343 | WD: 0.00010000
