Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 2 decoder FFN layers (L5-L6) | insertion=ffn

Checkpoint epoch_0_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 5.856 | sacreBLEU: 1.85 | Beam=5
Checkpoint epoch_1_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 5.217 | sacreBLEU: 3.43 | Beam=5
Checkpoint epoch_2_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 4.784 | sacreBLEU: 3.27 | Beam=5
Checkpoint epoch_3_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 4.343 | sacreBLEU: 8.63 | Beam=5
Checkpoint epoch_4_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 4.095 | sacreBLEU: 10.26 | Beam=5
Checkpoint epoch_5_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.875 | sacreBLEU: 14.79 | Beam=5
Checkpoint epoch_6_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.724 | sacreBLEU: 16.30 | Beam=5
Checkpoint epoch_7_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.620 | sacreBLEU: 18.53 | Beam=5
Checkpoint epoch_8_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.538 | sacreBLEU: 19.47 | Beam=5
Checkpoint epoch_9_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.511 | sacreBLEU: 21.21 | Beam=5
Checkpoint epoch_10_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.418 | sacreBLEU: 22.11 | Beam=5
Checkpoint epoch_11_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.400 | sacreBLEU: 22.61 | Beam=5

♻️ Resuming checkpoint testing after crash

Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 2 decoder FFN layers (L5-L6) | insertion=ffn

Checkpoint epoch_12_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.339 | sacreBLEU: 24.24 | Beam=5
Checkpoint epoch_13_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.302 | sacreBLEU: 23.94 | Beam=5
Checkpoint epoch_14_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.268 | sacreBLEU: 24.68 | Beam=5
Checkpoint epoch_15_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.252 | sacreBLEU: 25.11 | Beam=5
Checkpoint epoch_16_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.238 | sacreBLEU: 25.80 | Beam=5
Checkpoint epoch_17_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.229 | sacreBLEU: 25.32 | Beam=5
Checkpoint epoch_18_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.177 | sacreBLEU: 26.54 | Beam=5
Checkpoint epoch_19_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.163 | sacreBLEU: 26.84 | Beam=5
