Epoch 0 | Last Batch 1256 | M_Optimizer LR => 0.00003142 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 40.23 sec
Epoch 1 | Last Batch 1256 | M_Optimizer LR => 0.00006285 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.91 sec
Epoch 2 | Last Batch 1256 | M_Optimizer LR => 0.00009428 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.00 sec
Epoch 3 | Last Batch 1256 | M_Optimizer LR => 0.00008919 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 40.55 sec
Epoch 4 | Last Batch 1256 | M_Optimizer LR => 0.00007978 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 40.02 sec
Epoch 5 | Last Batch 1256 | M_Optimizer LR => 0.00007283 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.08 sec
Epoch 6 | Last Batch 1256 | M_Optimizer LR => 0.00006742 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.02 sec
Epoch 7 | Last Batch 1256 | M_Optimizer LR => 0.00006307 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.41 sec
Epoch 8 | Last Batch 1256 | M_Optimizer LR => 0.00005946 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.49 sec
Epoch 9 | Last Batch 1256 | M_Optimizer LR => 0.00005641 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.05 sec
Epoch 10 | Last Batch 1256 | M_Optimizer LR => 0.00005379 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.55 sec
Epoch 11 | Last Batch 1256 | M_Optimizer LR => 0.00005150 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 40.03 sec
Epoch 12 | Last Batch 1256 | M_Optimizer LR => 0.00004948 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.12 sec
Epoch 13 | Last Batch 1256 | M_Optimizer LR => 0.00004768 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.22 sec
Epoch 14 | Last Batch 1256 | M_Optimizer LR => 0.00004606 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.69 sec
Epoch 15 | Last Batch 1256 | M_Optimizer LR => 0.00004460 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.71 sec
Epoch 16 | Last Batch 1256 | M_Optimizer LR => 0.00004327 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.67 sec
Epoch 17 | Last Batch 1256 | M_Optimizer LR => 0.00004205 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.95 sec
Epoch 18 | Last Batch 1256 | M_Optimizer LR => 0.00004092 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.97 sec
Epoch 19 | Last Batch 1256 | M_Optimizer LR => 0.00003989 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.46 sec
Epoch 20 | Last Batch 1256 | M_Optimizer LR => 0.00003893 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.40 sec
Epoch 21 | Last Batch 1256 | M_Optimizer LR => 0.00003803 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 40.12 sec
Epoch 22 | Last Batch 1256 | M_Optimizer LR => 0.00003720 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.47 sec
Epoch 23 | Last Batch 1256 | M_Optimizer LR => 0.00003641 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.08 sec
Epoch 24 | Last Batch 1256 | M_Optimizer LR => 0.00003568 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.55 sec
Epoch 25 | Last Batch 1256 | M_Optimizer LR => 0.00003498 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.14 sec
Epoch 26 | Last Batch 1256 | M_Optimizer LR => 0.00003433 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.77 sec
