Model: TDM_Former
Ablation Status: transition=True | rotation=True | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn

Epoch 0 | Train Loss: 7.467 | LR: 0.00003142
Epoch 1 | Train Loss: 6.316 | LR: 0.00006285
Epoch 2 | Train Loss: 5.708 | LR: 0.00009428
Epoch 3 | Train Loss: 5.122 | LR: 0.00008919
Epoch 4 | Train Loss: 4.715 | LR: 0.00007978
Epoch 5 | Train Loss: 4.441 | LR: 0.00007283
Epoch 6 | Train Loss: 4.242 | LR: 0.00006742
Epoch 7 | Train Loss: 4.092 | LR: 0.00006307
Epoch 8 | Train Loss: 3.972 | LR: 0.00005946
Epoch 9 | Train Loss: 3.865 | LR: 0.00005641
Epoch 10 | Train Loss: 3.777 | LR: 0.00005379
Epoch 11 | Train Loss: 3.700 | LR: 0.00005150
Epoch 12 | Train Loss: 3.634 | LR: 0.00004948
Epoch 13 | Train Loss: 3.575 | LR: 0.00004768
Epoch 14 | Train Loss: 3.527 | LR: 0.00004606
Epoch 15 | Train Loss: 3.481 | LR: 0.00004460
Epoch 16 | Train Loss: 3.442 | LR: 0.00004327
Epoch 17 | Train Loss: 3.407 | LR: 0.00004205
Epoch 18 | Train Loss: 3.376 | LR: 0.00004092
Epoch 19 | Train Loss: 3.346 | LR: 0.00003989
Epoch 20 | Train Loss: 3.320 | LR: 0.00003893
Epoch 21 | Train Loss: 3.293 | LR: 0.00003803
Epoch 22 | Train Loss: 3.271 | LR: 0.00003720
Epoch 23 | Train Loss: 3.245 | LR: 0.00003641
Epoch 24 | Train Loss: 3.226 | LR: 0.00003568
Epoch 25 | Train Loss: 3.208 | LR: 0.00003498
Epoch 26 | Train Loss: 3.187 | LR: 0.00003433
Epoch 27 | Train Loss: 3.172 | LR: 0.00003371
Epoch 28 | Train Loss: 3.154 | LR: 0.00003313
Epoch 29 | Train Loss: 3.139 | LR: 0.00003257
Epoch 30 | Train Loss: 3.124 | LR: 0.00003204
Epoch 31 | Train Loss: 3.111 | LR: 0.00003153
Epoch 32 | Train Loss: 3.098 | LR: 0.00003105
Epoch 33 | Train Loss: 3.086 | LR: 0.00003059
Epoch 34 | Train Loss: 3.073 | LR: 0.00003015
Epoch 35 | Train Loss: 3.062 | LR: 0.00002973
Epoch 36 | Train Loss: 3.050 | LR: 0.00002933
Epoch 37 | Train Loss: 3.040 | LR: 0.00002894
Epoch 38 | Train Loss: 3.030 | LR: 0.00002856
Epoch 39 | Train Loss: 3.021 | LR: 0.00002821
Epoch 40 | Train Loss: 3.012 | LR: 0.00002786
Epoch 41 | Train Loss: 3.004 | LR: 0.00002753
Epoch 42 | Train Loss: 2.995 | LR: 0.00002720
Epoch 43 | Train Loss: 2.988 | LR: 0.00002689
Epoch 44 | Train Loss: 2.980 | LR: 0.00002659
Epoch 45 | Train Loss: 2.972 | LR: 0.00002630
Epoch 46 | Train Loss: 2.965 | LR: 0.00002602
Epoch 47 | Train Loss: 2.958 | LR: 0.00002575
Epoch 48 | Train Loss: 2.950 | LR: 0.00002548
Epoch 49 | Train Loss: 2.945 | LR: 0.00002523
