Model: TDM_Former
Ablation Status: transition=True | rotation=True | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn

Epoch 0 | Train Loss: 7.362 | LR: 0.00003777
Epoch 1 | Train Loss: 6.111 | LR: 0.00007555
Epoch 2 | Train Loss: 5.381 | LR: 0.00009394
Epoch 3 | Train Loss: 4.795 | LR: 0.00008135
Epoch 4 | Train Loss: 4.421 | LR: 0.00007276
Epoch 5 | Train Loss: 4.167 | LR: 0.00006642
Epoch 6 | Train Loss: 3.971 | LR: 0.00006150
Epoch 7 | Train Loss: 3.821 | LR: 0.00005752
Epoch 8 | Train Loss: 3.698 | LR: 0.00005423
Epoch 9 | Train Loss: 3.604 | LR: 0.00005145
Epoch 10 | Train Loss: 3.524 | LR: 0.00004906
Epoch 11 | Train Loss: 3.459 | LR: 0.00004697
Epoch 12 | Train Loss: 3.403 | LR: 0.00004513
Epoch 13 | Train Loss: 3.352 | LR: 0.00004348
Epoch 14 | Train Loss: 3.310 | LR: 0.00004201
Epoch 15 | Train Loss: 3.271 | LR: 0.00004068
Epoch 16 | Train Loss: 3.240 | LR: 0.00003946
Epoch 17 | Train Loss: 3.210 | LR: 0.00003835
Epoch 18 | Train Loss: 3.183 | LR: 0.00003733
Epoch 19 | Train Loss: 3.158 | LR: 0.00003638
Epoch 20 | Train Loss: 3.137 | LR: 0.00003550
Epoch 21 | Train Loss: 3.115 | LR: 0.00003469
Epoch 22 | Train Loss: 3.095 | LR: 0.00003393
Epoch 23 | Train Loss: 3.078 | LR: 0.00003321
Epoch 24 | Train Loss: 3.061 | LR: 0.00003254
Epoch 25 | Train Loss: 3.046 | LR: 0.00003191
Epoch 26 | Train Loss: 3.033 | LR: 0.00003131
Epoch 27 | Train Loss: 3.018 | LR: 0.00003075
Epoch 28 | Train Loss: 3.006 | LR: 0.00003021
Epoch 29 | Train Loss: 2.993 | LR: 0.00002971
Epoch 30 | Train Loss: 2.981 | LR: 0.00002922
Epoch 31 | Train Loss: 2.970 | LR: 0.00002876
Epoch 32 | Train Loss: 2.959 | LR: 0.00002832
Epoch 33 | Train Loss: 2.951 | LR: 0.00002790
Epoch 34 | Train Loss: 2.939 | LR: 0.00002750
Epoch 35 | Train Loss: 2.929 | LR: 0.00002712
Epoch 36 | Train Loss: 2.920 | LR: 0.00002675
Epoch 37 | Train Loss: 2.914 | LR: 0.00002639
Epoch 38 | Train Loss: 2.905 | LR: 0.00002605
Epoch 39 | Train Loss: 2.897 | LR: 0.00002573
Epoch 40 | Train Loss: 2.890 | LR: 0.00002541
Epoch 41 | Train Loss: 2.883 | LR: 0.00002511
Epoch 42 | Train Loss: 2.875 | LR: 0.00002481
Epoch 43 | Train Loss: 2.869 | LR: 0.00002453
Epoch 44 | Train Loss: 2.863 | LR: 0.00002425
Epoch 45 | Train Loss: 2.855 | LR: 0.00002399
Epoch 46 | Train Loss: 2.849 | LR: 0.00002373
Epoch 47 | Train Loss: 2.844 | LR: 0.00002348
Epoch 48 | Train Loss: 2.839 | LR: 0.00002324
Epoch 49 | Train Loss: 2.832 | LR: 0.00002301
