Model: TDM_Former
Ablation Status: transition=True | rotation=True | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn

Epoch 0 | Train Loss: 6.810 | LR: 0.00003793
Epoch 1 | Train Loss: 5.595 | LR: 0.00007585
Epoch 2 | Train Loss: 5.059 | LR: 0.00009375
Epoch 3 | Train Loss: 4.528 | LR: 0.00008119
Epoch 4 | Train Loss: 4.187 | LR: 0.00007262
Epoch 5 | Train Loss: 3.959 | LR: 0.00006629
Epoch 6 | Train Loss: 3.784 | LR: 0.00006137
Epoch 7 | Train Loss: 3.647 | LR: 0.00005741
Epoch 8 | Train Loss: 3.541 | LR: 0.00005413
Epoch 9 | Train Loss: 3.458 | LR: 0.00005135
Epoch 10 | Train Loss: 3.389 | LR: 0.00004896
Epoch 11 | Train Loss: 3.333 | LR: 0.00004688
Epoch 12 | Train Loss: 3.281 | LR: 0.00004504
Epoch 13 | Train Loss: 3.236 | LR: 0.00004340
Epoch 14 | Train Loss: 3.201 | LR: 0.00004193
Epoch 15 | Train Loss: 3.170 | LR: 0.00004060
Epoch 16 | Train Loss: 3.139 | LR: 0.00003938
Epoch 17 | Train Loss: 3.112 | LR: 0.00003827
Epoch 18 | Train Loss: 3.090 | LR: 0.00003725
Epoch 19 | Train Loss: 3.065 | LR: 0.00003631
Epoch 20 | Train Loss: 3.044 | LR: 0.00003543
Epoch 21 | Train Loss: 3.024 | LR: 0.00003462
Epoch 22 | Train Loss: 3.005 | LR: 0.00003386
Epoch 23 | Train Loss: 2.991 | LR: 0.00003315
Epoch 24 | Train Loss: 2.976 | LR: 0.00003248
Epoch 25 | Train Loss: 2.961 | LR: 0.00003185
Epoch 26 | Train Loss: 2.946 | LR: 0.00003125
Epoch 27 | Train Loss: 2.935 | LR: 0.00003069
Epoch 28 | Train Loss: 2.924 | LR: 0.00003015
Epoch 29 | Train Loss: 2.911 | LR: 0.00002965
Epoch 30 | Train Loss: 2.902 | LR: 0.00002916
Epoch 31 | Train Loss: 2.891 | LR: 0.00002871
Epoch 32 | Train Loss: 2.882 | LR: 0.00002827
Epoch 33 | Train Loss: 2.873 | LR: 0.00002785
Epoch 34 | Train Loss: 2.864 | LR: 0.00002745
Epoch 35 | Train Loss: 2.856 | LR: 0.00002706
Epoch 36 | Train Loss: 2.848 | LR: 0.00002670
Epoch 37 | Train Loss: 2.841 | LR: 0.00002634
Epoch 38 | Train Loss: 2.834 | LR: 0.00002600
Epoch 39 | Train Loss: 2.827 | LR: 0.00002567
Epoch 40 | Train Loss: 2.820 | LR: 0.00002536
Epoch 41 | Train Loss: 2.814 | LR: 0.00002506
Epoch 42 | Train Loss: 2.808 | LR: 0.00002476
Epoch 43 | Train Loss: 2.802 | LR: 0.00002448
Epoch 44 | Train Loss: 2.797 | LR: 0.00002421
Epoch 45 | Train Loss: 2.791 | LR: 0.00002394
Epoch 46 | Train Loss: 2.785 | LR: 0.00002369
Epoch 47 | Train Loss: 2.781 | LR: 0.00002344
Epoch 48 | Train Loss: 2.776 | LR: 0.00002320
Epoch 49 | Train Loss: 2.771 | LR: 0.00002296
