Epoch 0 | Last Batch 1583 | M_Optimizer LR => 0.00003960 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 8.87 sec
Epoch 1 | Last Batch 1583 | M_Optimizer LR => 0.00007920 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 7.15 sec
Epoch 2 | Last Batch 1583 | M_Optimizer LR => 0.00009175 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 9.26 sec
Epoch 3 | Last Batch 1583 | M_Optimizer LR => 0.00007946 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 5.94 sec
Epoch 4 | Last Batch 1583 | M_Optimizer LR => 0.00007107 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 5.96 sec
Epoch 5 | Last Batch 1583 | M_Optimizer LR => 0.00006487 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 5.91 sec
Epoch 6 | Last Batch 1583 | M_Optimizer LR => 0.00006006 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 5.45 sec
Epoch 7 | Last Batch 1583 | M_Optimizer LR => 0.00005618 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 4.84 sec
Epoch 8 | Last Batch 1583 | M_Optimizer LR => 0.00005297 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 5.21 sec
Epoch 9 | Last Batch 1583 | M_Optimizer LR => 0.00005025 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 6.01 sec
Epoch 10 | Last Batch 1583 | M_Optimizer LR => 0.00004791 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 5.63 sec
Epoch 11 | Last Batch 1583 | M_Optimizer LR => 0.00004587 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 5.87 sec
Epoch 12 | Last Batch 1583 | M_Optimizer LR => 0.00004407 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 6.06 sec
Epoch 13 | Last Batch 1583 | M_Optimizer LR => 0.00004247 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 6.29 sec
Epoch 14 | Last Batch 1583 | M_Optimizer LR => 0.00004103 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 5.37 sec
Epoch 15 | Last Batch 1583 | M_Optimizer LR => 0.00003973 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 7.00 sec
Epoch 16 | Last Batch 1583 | M_Optimizer LR => 0.00003854 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 6.55 sec
Epoch 17 | Last Batch 1583 | M_Optimizer LR => 0.00003746 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 7.49 sec
Epoch 18 | Last Batch 1583 | M_Optimizer LR => 0.00003646 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 6.95 sec
Epoch 19 | Last Batch 1583 | M_Optimizer LR => 0.00003553 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 7.93 sec
Epoch 20 | Last Batch 1583 | M_Optimizer LR => 0.00003468 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 7.05 sec
Epoch 21 | Last Batch 1583 | M_Optimizer LR => 0.00003388 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 5.40 sec
Epoch 22 | Last Batch 1583 | M_Optimizer LR => 0.00003314 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 6.41 sec
Epoch 23 | Last Batch 1583 | M_Optimizer LR => 0.00003244 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 6.25 sec
Epoch 24 | Last Batch 1583 | M_Optimizer LR => 0.00003178 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 4.34 sec
Epoch 25 | Last Batch 1583 | M_Optimizer LR => 0.00003116 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 6.20 sec
Epoch 26 | Last Batch 1583 | M_Optimizer LR => 0.00003058 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 7.49 sec
Epoch 27 | Last Batch 1583 | M_Optimizer LR => 0.00003003 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 6.27 sec
Epoch 28 | Last Batch 1583 | M_Optimizer LR => 0.00002951 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 7.52 sec
Epoch 29 | Last Batch 1583 | M_Optimizer LR => 0.00002901 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 7.69 sec
Epoch 30 | Last Batch 1583 | M_Optimizer LR => 0.00002854 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 6.49 sec
Epoch 31 | Last Batch 1583 | M_Optimizer LR => 0.00002809 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 7.83 sec
Epoch 32 | Last Batch 1583 | M_Optimizer LR => 0.00002766 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 7.18 sec
Epoch 33 | Last Batch 1583 | M_Optimizer LR => 0.00002725 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 7.07 sec
